Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;404,932;402,235;1,944,426;1,893,488;;
REGIÓN SIERRA;;136;136;714;714;;
REGIÓN COSTA;;403,724;401,038;1,940,815;1,889,907;;
REGIÓN AMAZÓNICA;;1,072;1,060;2,897;2,867;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;;;;;;
;Asociado;;;;;;
BOLÍVAR;Solo;34;34;264;264;;
;Asociado;;;;;;
CAÑAR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;;;;;;
;Asociado;;;;;;
COTOPAXI;Solo;18;18;29;29;;
;Asociado;;;;;;
CHIMBORAZO;Solo;;;;;;
;Asociado;;;;;;
IMBABURA;Solo;;;;;;
;Asociado;;;;;;
LOJA;Solo;;;;;;
;Asociado;84;84;422;422;;
PICHINCHA;Solo;;;;;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;3,668;3,663;16,845;16,658;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;269,907;268,808;1,315,515;1,282,148;;
;Asociado;;;;;;
LOS RÍOS;Solo;110,455;110,312;540,103;525,181;;
;Asociado;;;;;;
MANABÍ;Solo;19,665;18,225;68,301;65,884;;
;Asociado;30;30;51;36;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;1;1;1;1;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;1,071;1,059;2,896;2,866;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;
