Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;1,282;1,091;810;617;;
REGIÓN SIERRA;;1,255;1,064;803;617;;
REGIÓN COSTA;;27;27;6;;;
REGIÓN AMAZÓNICA;;;;;;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;22;16;12;11;;
;Asociado;2;2;1;;;
BOLÍVAR;Solo;397;390;438;367;;
;Asociado;;;;;;
CAÑAR;Solo;23;23;17;15;;
;Asociado;;;;;;
CARCHI;Solo;264;133;149;129;;
;Asociado;;;;;;
COTOPAXI;Solo;4;4;2;;;
;Asociado;17;17;15;;;
CHIMBORAZO;Solo;140;134;68;54;;
;Asociado;;;;;;
IMBABURA;Solo;92;91;41;21;;
;Asociado;31;31;3;;;
LOJA;Solo;58;39;20;4;;
;Asociado;72;71;5;;;
PICHINCHA;Solo;117;105;26;8;;
;Asociado;;;;;;
TUNGURAHUA;Solo;16;8;8;8;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;12;12;3;;;
;Asociado;15;15;3;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;
