ÁRBOLES DISPERSOS;NÚMERO DE ÁRBOLES;PRODUCCIÓN (Tm.);VENTAS (Tm.);;ÍNDICE
ACHIOTE (GRANO SECO); 548 ; 9 ; 8 ;;
AGUACATE (FRUTA FRESCA); 81,475 ; 2,354 ; 880 ;;
BANANO (FRUTA FRESCA); 492,742 ; 6,918 ; 797 ;;
CACAO (ALMENDRA SECA); 205,092 ; 385 ; 365 ;;
CAFÉ (GRANO ORO); 124,826 ; 71 ; 62 ;;
CLAUDIA (FRUTA FRESCA); 36,387 ; 163 ; 50 ;;
CHIRIMOYA (FRUTA FRESCA); 6,541 ; 65 ; 26 ;;
CIRUELO (FRUTA FRESCA); 4,414 ; 38 ; 12 ;;
COCOTERO (FRUTA FRESCA); 78,848 ; 1,815 ; 946 ;;
DURAZNO (FRUTA FRESCA); 15,505 ; 48 ; 3 ;;
GUABA (FRUTA FRESCA); 61,484 ; 3,559 ; 179 ;;
GUANÁBANA (FRUTA FRESCA); 20,009 ; 310 ; 1 ;;
GUAYABA (FRUTA FRESCA); 16,280 ; 370 ; 24 ;;
LIMA (FRUTA FRESCA); 3,642 ; 27 ; 1 ;;
LIMÓN (FRUTA FRESCA); 171,151 ; 2,808 ; 925 ;;
MANDARINA (FRUTA FRESCA); 273,442 ; 13,488 ; 1,423 ;;
MANGO (FRUTA FRESCA); 215,019 ; 9,434 ; 1,503 ;;
MANZANA (FRUTA FRESCA); 14,292 ; 60 ; 5 ;;
MARACUYÁ (FRUTA FRESCA); 15,754 ; 62 ; 27 ;;
NARANJA (FRUTA FRESCA); 507,004 ; 51,260 ; 30,915 ;;
ORITO (FRUTA FRESCA); 35,146 ; 485 ; 75 ;;
PAPAYA (FRUTA FRESCA); 76,523 ; 927 ; 319 ;;
PERA (FRUTA FRESCA); 6,737 ; 52 ; 35 ;;
PIÑA (FRUTA FRESCA); 8,613 ; 10 ;;;
PLÁTANO (FRUTA FRESCA); 3,014,053 ; 38,116 ; 12,387 ;;
TOMATE DE ÁRBOL (FRUTA FRESCA); 30,796 ; 126 ; 12 ;;
TORONJA (FRUTA FRESCA); 26,720 ; 867 ; 264 ;;
ZAPOTE (FRUTA FRESCA); 12,861 ; 1,144 ; 74 ;;
OTROS PERMANENTES; 61,013 ; 1,846 ; 360 ;;
;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;
