Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;3,710;3,417;10,759;10,038;;
REGIÓN SIERRA;;3,710;3,417;10,759;10,038;;
REGIÓN COSTA;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;263;251;363;305;;
;Asociado;25;18;12;3;;
BOLÍVAR;Solo;185;185;531;431;;
;Asociado;;;;;;
CAÑAR;Solo;89;88;46;24;;
;Asociado;30;30;19;11;;
CARCHI;Solo;859;785;4,172;4,172;;
;Asociado;131;131;712;712;;
COTOPAXI;Solo;24;24;22;20;;
;Asociado;;;;;;
CHIMBORAZO;Solo;615;592;2,120;2,077;;
;Asociado;39;12;27;25;;
IMBABURA;Solo;458;447;871;705;;
;Asociado;18;16;7;;;
LOJA;Solo;102;83;82;47;;
;Asociado;27;27;47;45;;
PICHINCHA;Solo;192;124;207;155;;
;Asociado;45;21;59;;;
TUNGURAHUA;Solo;580;558;1,416;1,285;;
;Asociado;27;26;46;21;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;
