Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;7,167;6,637;10,462;7,683;;
REGIÓN SIERRA;;7,167;6,637;10,462;7,683;;
REGIÓN COSTA;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;92;92;63;48;;
;Asociado;;;;;;
BOLÍVAR;Solo;415;415;821;721;;
;Asociado;;;;;;
CAÑAR;Solo;37;37;36;7;;
;Asociado;;;;;;
CARCHI;Solo;1,019;1,007;2,246;2,111;;
;Asociado;;;;;;
COTOPAXI;Solo;788;732;827;634;;
;Asociado;;;;;;
CHIMBORAZO;Solo;3,525;3,253;4,773;3,365;;
;Asociado;;;;;;
IMBABURA;Solo;577;454;798;313;;
;Asociado;;;;;;
LOJA;Solo;53;53;68;39;;
;Asociado;;;;;;
PICHINCHA;Solo;553;485;696;407;;
;Asociado;;;;;;
TUNGURAHUA;Solo;109;109;134;39;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;
