Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;7,174;6,841;18,880;18,178;;
REGIÓN SIERRA;;3,671;3,358;12,113;11,502;;
REGIÓN COSTA;;3,494;3,478;6,765;6,676;;
REGIÓN AMAZÓNICA;;9;5;3;;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;20;20;27;27;;
;Asociado;478;328;613;400;;
BOLÍVAR;Solo;116;116;171;168;;
;Asociado;;;;;;
CAÑAR;Solo;;;;;;
;Asociado;92;76;52;21;;
CARCHI;Solo;232;232;1,087;1,067;;
;Asociado;;;;;;
COTOPAXI;Solo;19;19;87;85;;
;Asociado;4;4;11;11;;
CHIMBORAZO;Solo;640;579;1,401;1,339;;
;Asociado;84;61;160;160;;
IMBABURA;Solo;1,328;1,328;7,311;7,201;;
;Asociado;149;149;526;498;;
LOJA;Solo;119;110;72;38;;
;Asociado;194;146;91;27;;
PICHINCHA;Solo;79;79;246;246;;
;Asociado;70;70;92;58;;
TUNGURAHUA;Solo;47;43;164;155;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;12;12;6;2;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;646;646;1,868;1,838;;
;Asociado;2,012;2,012;3,698;3,666;;
LOS RÍOS;Solo;160;160;129;129;;
;Asociado;332;332;357;357;;
MANABÍ;Solo;267;260;669;647;;
;Asociado;65;57;39;37;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;9;5;2;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;0;0;0;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;
