Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;2,649;2,122;1,920;1,129;;
REGIÓN SIERRA;;2,421;2,019;1,880;1,103;;
REGIÓN COSTA;;229;103;40;27;;
REGIÓN AMAZÓNICA;;;;;;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;12;12;6;;;
;Asociado;389;319;123;10;;
BOLÍVAR;Solo;244;244;625;491;;
;Asociado;;;;;;
CAÑAR;Solo;22;22;50;40;;
;Asociado;98;77;42;;;
CARCHI;Solo;49;49;90;87;;
;Asociado;;;;;;
COTOPAXI;Solo;35;35;64;49;;
;Asociado;;;;;;
CHIMBORAZO;Solo;361;350;481;356;;
;Asociado;;;;;;
IMBABURA;Solo;89;89;110;;;
;Asociado;205;143;32;20;;
LOJA;Solo;2;2;4;2;;
;Asociado;871;643;234;47;;
PICHINCHA;Solo;31;22;16;;;
;Asociado;11;9;2;;;
TUNGURAHUA;Solo;3;3;2;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;73;63;13;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;21;21;16;16;;
;Asociado;134;19;10;10;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;
