Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;3,200;2,795;6,663;6,113;;
REGIÓN SIERRA;;1,138;1,100;3,277;2,990;;
REGIÓN COSTA;;1,685;1,386;3,227;3,077;;
REGIÓN AMAZÓNICA;;377;308;159;46;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;;;;;;
;Asociado;;;;;;
BOLÍVAR;Solo;224;224;2,040;2,040;;
;Asociado;;;;;;
CAÑAR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;43;43;20;20;;
;Asociado;;;;;;
COTOPAXI;Solo;;;;;;
;Asociado;;;;;;
CHIMBORAZO;Solo;;;;;;
;Asociado;;;;;;
IMBABURA;Solo;36;21;57;;;
;Asociado;;;;;;
LOJA;Solo;700;693;983;797;;
;Asociado;28;14;39;;;
PICHINCHA;Solo;100;100;113;113;;
;Asociado;5;5;25;20;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;947;648;470;430;;
;Asociado;6;6;2;2;;
ESMERALDAS;Solo;30;30;100;;;
;Asociado;;;;;;
GUAYAS;Solo;279;279;1,074;1,070;;
;Asociado;;;;;;
LOS RÍOS;Solo;239;239;1,270;1,270;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;184;184;310;305;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;244;204;96;37;;
;Asociado;3;2;1;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;1;1;1;0;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;27;20;17;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;98;80;28;9;;
;Asociado;4;2;16;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;
