CULTIVOS PERMANENTES;;SUPERFICIE PERDIDA (Has.);;;;;;;;ÍNDICE
;;Total;Sequía;Helada;Plagas;Enfermedades;Inundación;Otra razón;;
TOTAL NACIONAL;Solo; 38,955 ; 6,818 ; 1,341 ; 15,685 ; 3,707 ; 1,306 ; 10,097 ;;
;Asociado; 5,503 ; 794 ; 154 ; 1,237 ; 453 ; 2,056 ; 810 ;;
;;;;;;;;;;
AGUACATE (FRUTA FRESCA);Solo; 40 ; 14 ;; 5 ; 10 ;; 11 ;;
;Asociado; 10 ; 10 ;;;;;;;
BANANO (FRUTA FRESCA);Solo; 1,223 ; 160 ; 200 ; 198 ; 163 ;; 502 ;;
;Asociado; 296 ; 95 ; 40 ; 33 ; 100 ;; 27 ;;
CACAO (ALMENDRA SECA);Solo; 20,429 ; 3,405 ; 1,032 ; 7,541 ; 2,129 ; 1,078 ; 5,244 ;;
;Asociado; 1,990 ; 36 ; 20 ; 628 ; 164 ; 1,018 ; 125 ;;
CAFÉ (GRANO ORO);Solo; 758 ; 234 ; 21 ; 141 ; 26 ; 26 ; 310 ;;
;Asociado; 615 ; 109 ; 53 ; 162 ; 79 ;; 212 ;;
CAÑA DE AZÚCAR PARA AZÚCAR (TALLO FRESCO);Solo; 2,482 ; 89 ;; 2,393 ;;;;;
;Asociado;;;;;;;;;
CAÑA DE AZÚCAR PARA OTROS USOS (TALLO FRESCO);Solo; 664 ; 260 ; 6 ; 61 ; 13 ;; 325 ;;
;Asociado;;;;;;;;;
LIMÓN (FRUTA FRESCA);Solo; 318 ; 124 ;; 7 ;;; 187 ;;
;Asociado;;;;;;;;;
MANGO (FRUTA FRESCA);Solo; 65 ; 24 ;; 41 ;;;;;
;Asociado;;;;;;;;;
MARACUYÁ (FRUTA FRESCA);Solo; 202 ; 61 ;; 52 ; 18 ;; 70 ;;
;Asociado;;;;;;;;;
NARANJA (FRUTA FRESCA);Solo; 123 ;;; 95 ; 1 ;; 28 ;;
;Asociado; 688 ; 349 ; 35 ; 162 ;;; 143 ;;
ORITO (FRUTA FRESCA);Solo; 151 ; 9 ;; 97 ;;; 45 ;;
;Asociado;;;;;;;;;
PALMA AFRICANA (FRUTA FRESCA);Solo; 3,685 ; 582 ;; 1,330 ; 637 ;; 1,136 ;;
;Asociado; 55 ;;; 55 ;;;;;
PALMITO (TALLO FRESCO);Solo; 290 ; 0 ;;; 209 ;; 81 ;;
;Asociado;;;;;;;;;
PIÑA (FRUTA FRESCA);Solo; 80 ;; 40 ; 9 ;;; 31 ;;
;Asociado;;;;;;;;;
PLÁTANO (FRUTA FRESCA);Solo; 5,924 ; 1,473 ;; 2,354 ; 469 ; 202 ; 1,427 ;;
;Asociado; 1,669 ; 40 ;; 178 ; 110 ; 1,038 ; 303 ;;
TOMATE DE ÁRBOL (FRUTA FRESCA);Solo; 53 ; 21 ;; 0 ;;; 32 ;;
;Asociado; 1 ;;; 1 ;;;;;
OTROS PERMANENTES;Solo; 2,468 ; 362 ; 42 ; 1,361 ; 33 ;; 670 ;;
;Asociado; 180 ; 155 ; 6 ; 19 ;;;;;
;;;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;;
La categoría Banano corresponde  a la suma de banano de exportación y otros bananos;;;;;;;;;;
