Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;13,140;11,857;42,551;37,895;;
REGIÓN SIERRA;;11,873;10,593;41,072;36,680;;
REGIÓN COSTA;;890;887;1,202;1,076;;
REGIÓN AMAZÓNICA;;377;377;277;138;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;148;102;223;93;;
;Asociado;317;249;749;432;;
BOLÍVAR;Solo;3,164;3,040;11,023;10,867;;
;Asociado;61;61;126;126;;
CAÑAR;Solo;43;43;82;20;;
;Asociado;59;43;62;;;
CARCHI;Solo;285;218;904;855;;
;Asociado;;;;;;
COTOPAXI;Solo;1,047;691;2,136;1,801;;
;Asociado;4;4;9;9;;
CHIMBORAZO;Solo;1,263;1,186;6,927;6,649;;
;Asociado;120;83;302;291;;
IMBABURA;Solo;1,660;1,558;5,413;4,196;;
;Asociado;43;43;89;73;;
LOJA;Solo;25;20;39;25;;
;Asociado;158;139;217;103;;
PICHINCHA;Solo;1,543;1,343;3,500;2,668;;
;Asociado;108;99;243;48;;
TUNGURAHUA;Solo;1,804;1,655;8,996;8,402;;
;Asociado;11;9;27;23;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;9;9;8;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;19;19;13;;;
;Asociado;5;2;2;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;52;52;59;;;
;Asociado;;;;;;
LOS RÍOS;Solo;813;813;1,128;1,076;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;377;377;277;138;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;
