Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;52,331;47,322;69,567;50,847;;
REGIÓN SIERRA;;49,932;45,098;67,943;49,597;;
REGIÓN COSTA;;2,204;2,039;1,468;1,195;;
REGIÓN AMAZÓNICA;;171;166;122;26;;
ZONA NO DELIMITADA;;24;19;34;29;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;2,336;2,098;1,465;496;;
;Asociado;3,960;3,415;2,954;615;;
BOLÍVAR;Solo;16,649;16,264;33,410;30,767;;
;Asociado;1,190;1,190;1,140;986;;
CAÑAR;Solo;1,970;1,834;1,392;714;;
;Asociado;627;572;720;370;;
CARCHI;Solo;343;343;664;655;;
;Asociado;;;;;;
COTOPAXI;Solo;7,684;5,648;8,095;4,064;;
;Asociado;60;60;74;45;;
CHIMBORAZO;Solo;3,478;3,175;6,815;5,292;;
;Asociado;8;8;34;26;;
IMBABURA;Solo;2,630;2,457;2,583;860;;
;Asociado;904;770;579;206;;
LOJA;Solo;1,286;904;817;216;;
;Asociado;2,394;2,094;1,692;425;;
PICHINCHA;Solo;3,996;3,859;4,888;3,588;;
;Asociado;267;265;247;24;;
TUNGURAHUA;Solo;150;141;373;248;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;388;245;264;60;;
;Asociado;167;144;74;23;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;1,570;1,570;766;748;;
;Asociado;;;;;;
SANTA ELENA;Solo;80;80;364;364;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;164;159;120;26;;
;Asociado;7;7;2;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;24;19;34;29;;
;Asociado;;;;;;
;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;
