Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;14,548;13,689;221,187;206,632;;
REGIÓN SIERRA;;14,478;13,620;221,058;206,604;;
REGIÓN COSTA;;70;68;128;27;;
REGIÓN AMAZÓNICA;;;;;;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;968;873;3,621;3,224;;
;Asociado;34;16;52;27;;
BOLÍVAR;Solo;569;569;4,947;4,625;;
;Asociado;;;;;;
CAÑAR;Solo;830;769;3,395;2,969;;
;Asociado;;;;;;
CARCHI;Solo;4,668;4,507;134,064;127,114;;
;Asociado;17;17;188;188;;
COTOPAXI;Solo;1,105;1,012;9,282;8,181;;
;Asociado;;;;;;
CHIMBORAZO;Solo;3,115;2,979;29,606;27,475;;
;Asociado;;;;;;
IMBABURA;Solo;1,096;1,027;11,574;10,101;;
;Asociado;2;;;;;
LOJA;Solo;51;35;290;51;;
;Asociado;;;;;;
PICHINCHA;Solo;446;415;5,181;4,830;;
;Asociado;18;6;16;14;;
TUNGURAHUA;Solo;1,559;1,396;18,842;17,806;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;37;35;82;27;;
;Asociado;33;33;46;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;
