Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;1,477;1,447;66,280;65,927;;
REGIÓN SIERRA;;1,451;1,421;65,846;65,493;;
REGIÓN COSTA;;26;26;435;434;;
REGIÓN AMAZÓNICA;;;;;;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;50;43;3,624;3,500;;
;Asociado;0;0;9;9;;
BOLÍVAR;Solo;11;11;30;30;;
;Asociado;;;;;;
CAÑAR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;24;24;1,312;1,312;;
;Asociado;;;;;;
COTOPAXI;Solo;318;310;20,308;20,224;;
;Asociado;;;;;;
CHIMBORAZO;Solo;398;386;20,003;20,003;;
;Asociado;;;;;;
IMBABURA;Solo;140;139;4,931;4,929;;
;Asociado;;;;;;
LOJA;Solo;156;155;2,239;2,236;;
;Asociado;28;28;80;64;;
PICHINCHA;Solo;20;20;2,840;2,840;;
;Asociado;;;;;;
TUNGURAHUA;Solo;307;306;10,469;10,345;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;26;26;435;434;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;
