Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;12,453;11,636;84,768;72,605;;
REGIÓN SIERRA;;4,457;4,280;55,086;52,955;;
REGIÓN COSTA;;2,772;2,689;15,088;9,757;;
REGIÓN AMAZÓNICA;;5,223;4,668;14,594;9,893;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;11;8;16;;;
;Asociado;;;;;;
BOLÍVAR;Solo;6;6;8;5;;
;Asociado;;;;;;
CAÑAR;Solo;185;172;293;226;;
;Asociado;;;;;;
CARCHI;Solo;132;130;325;278;;
;Asociado;18;18;16;15;;
COTOPAXI;Solo;13;13;144;144;;
;Asociado;;;;;;
CHIMBORAZO;Solo;8;8;67;;;
;Asociado;;;;;;
IMBABURA;Solo;89;89;404;251;;
;Asociado;;;;;;
LOJA;Solo;259;98;418;154;;
;Asociado;1;1;2;;;
PICHINCHA;Solo;;;;;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;3,725;3,725;53,379;51,867;;
;Asociado;11;11;15;15;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;74;74;265;180;;
;Asociado;;;;;;
ESMERALDAS;Solo;27;27;129;62;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS RÍOS;Solo;733;733;5,418;5,386;;
;Asociado;;;;;;
MANABÍ;Solo;1,219;1,219;8,659;3,869;;
;Asociado;718;635;617;260;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;74;74;265;180;;
;Asociado;;;;;;
NAPO;Solo;27;27;129;62;;
;Asociado;;;;;;
ORELLANA;Solo;523;523;999;802;;
;Asociado;16;16;24;18;;
PASTAZA;Solo;791;786;2,939;1,792;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;197;127;190;105;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;151;144;258;121;;
;Asociado;4;2;5;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;
