;;;;;;;;;;;;;
;;;;;;;;;;;;;
CULTIVOS PERMANENTES;;SUPERFICIE PLANTADA (Has.);;;;;;;;;;;ÍNDICE
;;EDAD DE LA PLANTACIÓN;;;TIPO SE SEMILLA UTILIZADA;;;;PRÁCTICA DE CULTIVO;;;;
;;Menos de 10 años;De 10 a menos de 20 años;De 20 años y más;Común;Mejorada;Híbrida Nacional;Híbrida Internacional;Riego;Aplicación de Fertilizantes;Aplicación de Fitosanitarios;;
TOTAL NACIONAL;Solo; 659,788 ; 369,982 ; 265,888 ; 484,542 ; 666,612 ; 93,361 ; 51,101 ; 547,411 ; 916,602 ; 856,888 ;;
;Asociado; 79,876 ; 33,348 ; 25,544 ; 73,266 ; 61,596 ; 3,272 ; 632 ; 38,837 ; 77,582 ; 76,142 ;;
;;;;;;;;;;;;;
AGUACATE (FRUTA FRESCA);Solo; 4,703 ; 3,293 ; 402 ; 4,612 ; 3,338 ; 448 ;; 4,389 ; 7,268 ; 5,069 ;;
;Asociado; 174 ; 19 ; 333 ; 321 ; 205 ;;; 526 ; 460 ; 430 ;;
BANANO (FRUTA FRESCA);Solo; 31,452 ; 42,392 ; 104,350 ; 75,058 ; 100,533 ; 2,603 ;; 170,122 ; 172,480 ; 161,476 ;;
;Asociado; 853 ; 711 ; 1,208 ; 2,693 ; 79 ;;; 485 ; 599 ; 648 ;;
CACAO (ALMENDRA SECA);Solo; 283,780 ; 180,571 ; 86,170 ; 112,957 ; 398,335 ; 39,116 ; 114 ; 174,412 ; 334,871 ; 330,547 ;;
;Asociado; 32,500 ; 17,918 ; 11,514 ; 15,191 ; 45,309 ; 1,431 ;; 17,691 ; 36,469 ; 36,858 ;;
CAFÉ (GRANO ORO);Solo; 11,322 ; 3,339 ; 1,477 ; 7,222 ; 6,844 ; 1,812 ; 260 ; 1,061 ; 3,456 ; 5,580 ;;
;Asociado; 2,918 ; 1,973 ; 2,465 ; 4,233 ; 3,037 ; 86 ;; 486 ; 1,778 ; 4,021 ;;
CAÑA DE AZÚCAR PARA AZÚCAR (TALLO FRESCO);Solo; 66,227 ; 18,920 ; 5,261 ; 45,294 ; 44,692 ;; 422 ; 88,140 ; 89,750 ; 81,446 ;;
;Asociado;;;;;;;;;;;;
CAÑA DE AZÚCAR PARA OTROS USOS (TALLO FRESCO);Solo; 8,629 ; 3,026 ; 3,855 ; 13,759 ; 1,751 ;;; 1,381 ; 1,927 ; 3,056 ;;
;Asociado;;;;;;;;;;;;
LIMÓN (FRUTA FRESCA);Solo; 4,519 ; 1,605 ; 751 ; 4,619 ; 2,228 ; 27 ;; 5,134 ; 4,088 ; 4,101 ;;
;Asociado; 577 ; 190 ; 559 ; 841 ; 483 ; 2 ;; 1,129 ; 1,073 ; 867 ;;
MANGO (FRUTA FRESCA);Solo; 5,468 ; 6,054 ; 10,257 ; 7,590 ; 14,145 ; 44 ;; 14,879 ; 17,865 ; 11,762 ;;
;Asociado; 11 ;; 2 ; 11 ;; 2 ;; 2 ; 2 ; 2 ;;
MARACUYÁ (FRUTA FRESCA);Solo; 6,342 ;; 3 ; 2,824 ; 3,119 ; 402 ;; 1,614 ; 3,719 ; 3,732 ;;
;Asociado; 1,777 ;;; 488 ; 1,049 ;; 240 ; 151 ; 1,455 ; 1,461 ;;
NARANJA (FRUTA FRESCA);Solo; 1,644 ; 528 ; 311 ; 1,710 ; 773 ;;; 554 ; 1,162 ; 1,116 ;;
;Asociado; 3,426 ; 3,767 ; 3,955 ; 8,842 ; 2,304 ; 2 ;; 3,539 ; 8,378 ; 7,443 ;;
