Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;ÍNDICE
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros) ;;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;
TOTAL NACIONAL;152,556;105,592;39,895;55,192;10,505;46,964;12,285;18,762;15,917;;
REGIÓN SIERRA;97,863;66,499;32,663;29,124;4,711;31,364;10,146;10,486;10,733;;
REGIÓN COSTA;39,017;27,341;5,802;16,926;4,613;11,676;1,760;6,030;3,885;;
REGIÓN AMAZÓNICA;15,649;11,746;1,429;9,142;1,176;3,903;379;2,225;1,299;;
ZONA NO DELIMITADA;27;6;;;6;21;;21;;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
AZUAY;8,691;4,315;1,831;1,786;699;4,376;430;2,192;1,753;;
BOLÍVAR;2,926;1,522;687;728;106;1,404;374;605;425;;
CAÑAR;3,394;1,945;390;1,291;264;1,449;85;751;614;;
CARCHI;6,481;3,930;1,729;1,943;258;2,551;730;526;1,296;;
COTOPAXI;18,304;12,786;10,354;2,083;349;5,518;3,208;1,490;820;;
CHIMBORAZO;19,360;15,035;6,713;7,115;1,207;4,324;1,100;1,344;1,881;;
IMBABURA;6,986;5,791;1,490;4,028;273;1,194;231;272;692;;
LOJA;2,882;1,299;797;323;180;1,582;504;690;388;;
PICHINCHA;8,544;5,469;2,123;3,283;63;3,075;1,167;832;1,077;;
TUNGURAHUA;15,369;10,461;5,981;3,455;1,026;4,908;2,247;1,449;1,212;;
SANTO DOMINGO DE LOS TSÁCHILAS;4,926;3,944;567;3,089;287;983;71;336;576;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
EL ORO;4,526;3,381;302;2,621;459;1,146;115;487;543;;
ESMERALDAS;17,302;14,893;3,158;10,655;1,080;2,409;625;866;917;;
GUAYAS;2,517;1,772;798;961;13;745;21;699;25;;
LOS RÍOS;1,033;593;561;;32;440;137;175;127;;
MANABÍ;13,565;6,687;982;2,690;3,015;6,878;822;3,789;2,267;;
SANTA ELENA;74;14;;;14;60;40;14;5;;
;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;
MORONA SANTIAGO;3,134;1,667;330;1,071;267;1,467;127;666;674;;
NAPO;222;221;1;204;16;1;;0;1;;
ORELLANA;422;314;144;170;;108;89;8;11;;
PASTAZA;301;211;6;184;21;89;;89;;;
SUCUMBÍOS;6,981;5,989;608;4,594;787;992;23;461;508;;
ZAMORA CHINCHIPE;4,589;3,344;341;2,919;85;1,245;140;1,000;105;;
;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;
ZONA NO DELIMITADA;27;6;;;6;21;;21;;;
;;;;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;;;
;;;;;;;;;;;
Nota: El período de referencia es desde el 1 de enero al día de la entrevista;;;;;;;;;;;
