;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;ÍNDICE;;;
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros) ;;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;;;;
TOTAL NACIONAL;20,593;7,550;2,818;2,579;2,153;13,043;2,221;3,082;7,739;;;;;
REGIÓN SIERRA;13,309;5,229;1,440;1,900;1,889;8,080;1,433;1,980;4,668;;;;;
REGIÓN COSTA;6,642;2,143;1,358;552;233;4,499;766;918;2,815;;;;;
REGIÓN AMAZÓNICA;642;178;20;127;31;464;23;185;256;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY;2,449;931;228;474;229;1,518;92;421;1,005;;;;;
BOLÍVAR;1,077;197;131;52;14;880;8;322;549;;;;;
CAÑAR;234;73;23;24;26;162;47;109;6;;;;;
CARCHI;552;90;39;41;10;462;36;112;314;;;;;
COTOPAXI;584;182;82;54;47;402;41;51;309;;;;;
CHIMBORAZO;2,362;1,065;293;44;728;1,297;404;327;567;;;;;
IMBABURA;1,647;844;191;443;210;803;110;122;572;;;;;
LOJA;556;167;62;71;35;389;41;101;247;;;;;
PICHINCHA;2,477;803;264;229;309;1,675;489;286;900;;;;;
TUNGURAHUA;772;608;24;305;279;164;131;0;33;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;598;268;104;163;1;330;35;128;166;;;;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO;438;194;85;46;63;244;;52;192;;;;;
ESMERALDAS;870;229;104;115;11;640;16;143;481;;;;;
GUAYAS;857;204;197;5;2;653;111;83;459;;;;;
LOS RÍOS;407;214;5;197;11;193;12;;180;;;;;
MANABÍ;4,063;1,299;964;189;146;2,764;626;640;1,499;;;;;
SANTA ELENA;7;3;3;;;4;;;4;;;;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO;91;37;;37;;54;;13;41;;;;;
NAPO;68;;;;;68;;;68;;;;;
ORELLANA;6;;;;;6;;1;5;;;;;
PASTAZA;;;;;;;;;;;;;;
SUCUMBÍOS;316;139;20;88;31;178;23;13;142;;;;;
ZAMORA CHINCHIPE;161;2;;2;0;159;;159;;;;;;
;;;;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Nota: El período de referencia es desde el 1 de enero al día de la entrevista;;;;;;;;;;;;;;
