;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;ÍNDICE;;;;;;;
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;;;;;;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros) ;;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;;;;;;;;
TOTAL NACIONAL; 14,500 ; 7,119 ; 2,274 ; 3,095 ; 1,751 ; 7,381 ; 860 ; 1,488 ; 5,033 ;;;;;;;;;
REGIÓN SIERRA; 5,694 ; 3,040 ; 837 ; 1,345 ; 858 ; 2,654 ; 412 ; 587 ; 1,656 ;;;;;;;;;
REGIÓN COSTA; 8,450 ; 3,827 ; 1,438 ; 1,650 ; 739 ; 4,623 ; 448 ; 896 ; 3,279 ;;;;;;;;;
REGIÓN AMAZÓNICA; 356 ; 253 ;; 100 ; 153 ; 104 ;; 5 ; 99 ;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;;;;;
AZUAY; 408 ; 254 ;; 138 ; 116 ; 154 ;; 2 ; 153 ;;;;;;;;;
BOLÍVAR; 415 ; 148 ; 144 ; 4 ;; 266 ; 62 ; 63 ; 141 ;;;;;;;;;
CAÑAR; 194 ; 67 ; 31 ; 15 ; 20 ; 128 ; 14 ; 15 ; 99 ;;;;;;;;;
CARCHI; 529 ; 140 ; 67 ; 73 ;; 389 ; 56 ; 169 ; 164 ;;;;;;;;;
COTOPAXI; 314 ; 148 ;; 98 ; 50 ; 166 ; 10 ;; 156 ;;;;;;;;;
CHIMBORAZO; 654 ; 147 ; 1 ; 112 ; 34 ; 507 ; 110 ; 124 ; 272 ;;;;;;;;;
IMBABURA; 580 ; 349 ; 68 ; 261 ; 21 ; 231 ;;; 231 ;;;;;;;;;
LOJA; 275 ; 160 ; 105 ; 48 ; 7 ; 114 ; 57 ; 4 ; 53 ;;;;;;;;;
PICHINCHA; 854 ; 587 ; 224 ; 62 ; 301 ; 267 ; 40 ; 23 ; 204 ;;;;;;;;;
TUNGURAHUA; 889 ; 612 ; 113 ; 189 ; 310 ; 278 ;; 186 ; 91 ;;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS; 582 ; 428 ; 83 ; 345 ;; 154 ; 63 ;; 90 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;;;;;
EL ORO; 1,331 ; 722 ;; 297 ; 425 ; 609 ;; 7 ; 602 ;;;;;;;;;
ESMERALDAS; 661 ; 414 ; 61 ; 123 ; 231 ; 246 ; 1 ; 27 ; 218 ;;;;;;;;;
GUAYAS; 770 ; 76 ; 2 ; 24 ; 50 ; 693 ; 5 ; 252 ; 436 ;;;;;;;;;
LOS RÍOS; 22 ;;;;; 22 ;;; 22 ;;;;;;;;;
MANABÍ; 5,666 ; 2,614 ; 1,375 ; 1,206 ; 33 ; 3,052 ; 442 ; 610 ; 2,000 ;;;;;;;;;
SANTA ELENA;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;;;;;
MORONA SANTIAGO; 138 ; 63 ;; 31 ; 32 ; 75 ;; 1 ; 74 ;;;;;;;;;
NAPO; 18 ; 16 ;;; 16 ; 2 ;; 2 ;;;;;;;;;;
ORELLANA;;;;;;;;;;;;;;;;;;
PASTAZA; 122 ; 97 ;;; 97 ; 25 ;;; 25 ;;;;;;;;;
SUCUMBÍOS; 76 ; 76 ;; 69 ; 8 ;;;;;;;;;;;;;
ZAMORA CHINCHIPE; 2 ;;;;; 2 ;; 2 ;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Nota: El período de referencia es desde el 1 de enero al día de la entrevista;;;;;;;;;;;;;;;;;;
