;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;ÍNDICE;;;
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros) ;;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;;;;
TOTAL NACIONAL; 462,169 ; 275,644 ; 76,597 ; 124,687 ; 74,360 ; 186,525 ; 23,861 ; 49,693 ; 112,971 ;;;;;
REGIÓN SIERRA; 264,555 ; 158,233 ; 54,601 ; 55,204 ; 48,428 ; 106,323 ; 18,611 ; 27,109 ; 60,602 ;;;;;
REGIÓN COSTA; 164,003 ; 97,734 ; 19,893 ; 60,254 ; 17,587 ; 66,269 ; 4,581 ; 18,492 ; 43,196 ;;;;;
REGIÓN AMAZÓNICA; 33,515 ; 19,587 ; 2,080 ; 9,166 ; 8,342 ; 13,927 ; 669 ; 4,090 ; 9,169 ;;;;;
ZONA NO DELIMITADA; 96 ; 90 ; 23 ; 63 ; 3 ; 6 ;; 3 ; 4 ;;;;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY; 33,920 ; 20,813 ; 9,173 ; 3,981 ; 7,659 ; 13,107 ; 1,617 ; 2,572 ; 8,918 ;;;;;
BOLÍVAR; 11,699 ; 6,281 ; 1,344 ; 3,407 ; 1,529 ; 5,418 ; 579 ; 1,458 ; 3,381 ;;;;;
CAÑAR; 16,521 ; 10,480 ; 5,535 ; 2,226 ; 2,719 ; 6,041 ; 1,642 ; 787 ; 3,613 ;;;;;
CARCHI; 14,886 ; 10,363 ; 5,542 ; 3,634 ; 1,186 ; 4,524 ; 731 ; 972 ; 2,821 ;;;;;
COTOPAXI; 68,792 ; 37,421 ; 5,604 ; 17,421 ; 14,396 ; 31,371 ; 6,660 ; 11,751 ; 12,959 ;;;;;
CHIMBORAZO; 22,976 ; 13,317 ; 4,327 ; 3,942 ; 5,048 ; 9,659 ; 1,940 ; 2,440 ; 5,280 ;;;;;
IMBABURA; 13,269 ; 11,521 ; 1,921 ; 5,156 ; 4,444 ; 1,748 ; 197 ; 308 ; 1,243 ;;;;;
LOJA; 18,214 ; 10,108 ; 1,594 ; 5,918 ; 2,597 ; 8,105 ; 845 ; 1,986 ; 5,274 ;;;;;
PICHINCHA; 29,320 ; 18,280 ; 13,610 ; 1,899 ; 2,770 ; 11,040 ; 2,027 ; 1,552 ; 7,461 ;;;;;
TUNGURAHUA; 15,681 ; 9,632 ; 2,585 ; 2,578 ; 4,469 ; 6,049 ; 736 ; 1,148 ; 4,165 ;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS; 19,278 ; 10,017 ; 3,366 ; 5,041 ; 1,611 ; 9,261 ; 1,639 ; 2,136 ; 5,486 ;;;;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO; 20,761 ; 13,247 ; 1,168 ; 7,639 ; 4,441 ; 7,513 ; 488 ; 983 ; 6,042 ;;;;;
ESMERALDAS; 31,345 ; 26,119 ; 1,630 ; 19,454 ; 5,035 ; 5,226 ; 136 ; 661 ; 4,429 ;;;;;
GUAYAS; 22,417 ; 12,380 ; 2,620 ; 8,373 ; 1,387 ; 10,037 ; 620 ; 3,157 ; 6,260 ;;;;;
LOS RÍOS; 6,219 ; 3,588 ; 1,092 ; 1,604 ; 892 ; 2,631 ; 368 ; 976 ; 1,287 ;;;;;
MANABÍ; 83,131 ; 42,313 ; 13,378 ; 23,109 ; 5,826 ; 40,817 ; 2,969 ; 12,711 ; 25,137 ;;;;;
SANTA ELENA; 130 ; 85 ; 5 ; 74 ; 6 ; 45 ;; 4 ; 40 ;;;;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO; 13,986 ; 7,838 ; 1,154 ; 3,850 ; 2,834 ; 6,147 ; 337 ; 1,386 ; 4,425 ;;;;;
NAPO; 169 ; 62 ; 7 ; 4 ; 51 ; 107 ;;; 107 ;;;;;
ORELLANA; 2,857 ; 1,371 ; 391 ; 853 ; 127 ; 1,486 ; 220 ; 171 ; 1,095 ;;;;;
PASTAZA; 1,511 ; 631 ; 167 ; 242 ; 222 ; 880 ; 18 ; 681 ; 181 ;;;;;
SUCUMBÍOS; 7,731 ; 5,880 ; 264 ; 2,895 ; 2,721 ; 1,851 ; 31 ; 721 ; 1,098 ;;;;;
ZAMORA CHINCHIPE; 7,262 ; 3,806 ; 97 ; 1,322 ; 2,387 ; 3,456 ; 62 ; 1,130 ; 2,264 ;;;;;
;;;;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;;;
ZONA NO DELIMITADA; 96 ; 90 ; 23 ; 63 ; 3 ; 6 ;; 3 ; 4 ;;;;;
;;;;;;;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Nota: El período de referencia es desde el 1 de enero al día de la entrevista;;;;;;;;;;;;;;
