;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;;;;ÍNDICE
;;Brown Swiss;Brahman o cebú;Holstein Friesian;Jersey;Mestizos;Criollos;Girolando;Gyr;Charolains;Angus;Otra raza;;
TOTAL NACIONAL;3,436,276;237,766;435,612;404,549;99,374;1,149,527;745,100;126,071;84,707;73,640;11,888;68,042;;
REGIÓN SIERRA;1,841,930;131,721;77,274;350,157;68,980;611,788;514,200;32,834;10,040;13,780;3,893;27,262;;
REGIÓN COSTA;1,290,199;84,451;331,152;36,284;27,135;412,867;190,785;87,763;66,658;7,087;7,137;38,881;;
REGIÓN AMAZÓNICA;302,844;21,575;27,186;17,278;3,220;124,561;40,010;5,474;8,009;52,773;857;1,900;;
ZONA NO DELIMITADA;1,303;20;0;829;39;311;105;;;;;;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY;243,746;5,325;4,141;41,318;7,774;62,292;118,027;316;213;1,578;1,364;1,398;;
BOLÍVAR;131,567;25,803;5,512;7,477;2,072;59,202;23,507;4,304;2,222;884;20;564;;
CAÑAR;104,486;3,768;1,135;20,621;2,793;50,626;24,790;123;495;;38;98;;
CARCHI;89,519;9,834;1,187;34,693;2,662;21,634;15,213;507;11;1,202;48;2,528;;
COTOPAXI;250,541;15,767;17,411;45,671;5,506;98,022;62,817;1,176;450;551;280;2,889;;
CHIMBORAZO;290,408;22,887;3,000;57,384;13,741;94,850;90,898;2,881;218;2,189;106;2,254;;
IMBABURA;91,700;7,158;5,277;12,345;5,130;34,426;20,173;715;428;2,443;961;2,644;;
LOJA;128,745;3,762;10,541;2,654;926;47,455;61,846;1,062;423;72;2;2;;
PICHINCHA;217,160;14,727;3,616;74,137;14,893;62,419;32,192;4,322;1,366;1;454;9,032;;
TUNGURAHUA;194,363;15,703;3,741;41,765;11,057;57,996;58,503;88;;2,113;0;3,396;;
SANTO DOMINGO DE LOS TSÁCHILAS;99,695;6,986;21,712;12,093;2,426;22,866;6,233;17,342;4,214;2,748;622;2,454;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO;124,748;9,399;41,140;6,075;470;39,083;16,388;2,924;803;533;349;7,584;;
ESMERALDAS;209,320;4,886;52,860;2,401;2,200;91,993;23,416;8,847;5,151;50;277;17,237;;
GUAYAS;190,463;20,572;47,134;5,002;3,198;61,112;27,731;6,044;10,034;2,880;3,300;3,457;;
LOS RÍOS;51,331;2,019;17,744;2,680;3,053;16,576;2,903;3,339;2,586;117;85;229;;
MANABÍ;711,011;47,554;171,142;20,126;18,214;204,090;118,973;66,590;48,083;3,496;3,126;9,617;;
SANTA ELENA;3,325;22;1,133;;;13;1,373;18;0;11;;756;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO;101,375;6,822;1,478;5,217;1,256;39,418;4,956;268;4;41,557;400;;;
NAPO;11,105;2,510;2,822;2,559;81;1,216;750;306;;751;;110;;
ORELLANA;33,488;5,223;12,154;238;814;7,359;3,185;1,773;2,600;47;;94;;
PASTAZA;12,352;2,015;;705;405;5,700;0;191;;3,336;0;;;
SUCUMBÍOS;83,649;3,882;8,520;3,579;624;35,591;22,460;2,386;4,905;56;457;1,189;;
ZAMORA CHINCHIPE;60,874;1,123;2,212;4,980;40;35,278;8,659;551;500;7,025;;506;;
;;;;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;;;
ZONA NO DELIMITADA;1,303;20;0;829;39;311;105;;;;;;;
;;;;;;;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Nota: El período de referencia es el día de la entrevista;;;;;;;;;;;;;;
