;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Región y Provincia;GANADO PORCINO;;;;;;;ÍNDICE;;;
;TOTAL;EXISTENCIA1 (Machos y Hembras);;TOTAL;VENTAS2 (Machos y Hembras);;;;;;
;;Menores de 2 meses de edad;Mayores de 2 meses de edad;;Menores de 2 meses de edad;Mayores de 2 meses de edad;;;;;
TOTAL NACIONAL;896,457;300,315;596,141;597,267;83,220;514,046;;;;;
REGIÓN SIERRA;564,017;191,376;372,641;339,988;38,865;301,123;;;;;
REGIÓN COSTA;293,282;94,062;199,220;231,974;31,708;200,266;;;;;
REGIÓN AMAZÓNICA;39,148;14,878;24,270;25,302;12,648;12,654;;;;;
ZONA NO DELIMITADA;10;;10;4;;4;;;;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
AZUAY;40,167;13,723;26,444;10,780;5,129;5,651;;;;;
BOLÍVAR;32,740;8,029;24,710;10,701;1,702;8,998;;;;;
CAÑAR;15,366;3,442;11,924;4,051;608;3,443;;;;;
CARCHI;42,505;16,377;26,128;50,947;214;50,733;;;;;
COTOPAXI;72,892;20,074;52,818;14,864;6,387;8,476;;;;;
CHIMBORAZO;49,276;18,226;31,050;5,355;1,779;3,575;;;;;
IMBABURA;113,590;43,158;70,432;134,477;979;133,498;;;;;
LOJA;25,248;6,374;18,874;6,685;2,343;4,342;;;;;
PICHINCHA;31,403;12,006;19,396;9,915;5,255;4,661;;;;;
TUNGURAHUA;46,284;12,165;34,119;19,983;4,159;15,824;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;94,546;37,800;56,746;72,229;10,309;61,920;;;;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
EL ORO;63,163;18,602;44,561;115,825;13,667;102,159;;;;;
ESMERALDAS;14,461;5,161;9,300;2,458;1,493;964;;;;;
GUAYAS;85,000;24,042;60,959;26,827;724;26,103;;;;;
LOS RÍOS;17,150;4,778;12,372;6,096;1,431;4,665;;;;;
MANABÍ;94,918;36,917;58,001;40,041;14,368;25,673;;;;;
SANTA ELENA;18,589;4,561;14,028;40,726;25;40,701;;;;;
;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;
MORONA SANTIAGO;10,234;1,673;8,560;8,299;2,018;6,281;;;;;
NAPO;4,213;1,885;2,328;5,484;4,570;914;;;;;
ORELLANA;3,131;921;2,210;736;0;736;;;;;
PASTAZA;3,190;1,589;1,601;1,474;1,099;375;;;;;
SUCUMBÍOS;10,715;5,344;5,371;5,468;4,749;719;;;;;
ZAMORA CHINCHIPE;7,666;3,465;4,200;3,842;212;3,630;;;;;
;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;
ZONA NO DELIMITADA;10;;10;4;;4;;;;;
;;;;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;;;
;;;;;;;;;;;
(1) Para existencia el periodo de referencia es el día de la entrevista;;;;;;;;;;;
(2) Para ventas el período de referencia es del 1 de julio al 30 de septiembre 2024;;;;;;;;;;;
