;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Región y Provincia;TOTAL;GANADO PORCINO;;;;ÍNDICE;;;
;;De Raza;Mestizo;Criollo;;;;;
TOTAL NACIONAL;896,457;500,929;191,897;203,630;;;;;
REGIÓN SIERRA;564,017;315,809;119,883;128,325;;;;;
REGIÓN COSTA;293,282;166,873;60,844;65,565;;;;;
REGIÓN AMAZÓNICA;39,148;18,247;11,171;9,730;;;;;
ZONA NO DELIMITADA;10;;;10;;;;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
AZUAY;40,167;16,972;7,492;15,703;;;;;
BOLÍVAR;32,740;5,969;11,863;14,907;;;;;
CAÑAR;15,366;7,086;1,536;6,744;;;;;
CARCHI;42,505;40,793;897;815;;;;;
COTOPAXI;72,892;16,993;36,309;19,589;;;;;
CHIMBORAZO;49,276;8,813;19,675;20,788;;;;;
IMBABURA;113,590;103,815;3,718;6,057;;;;;
LOJA;25,248;2,245;3,465;19,538;;;;;
PICHINCHA;31,403;12,371;12,047;6,985;;;;;
TUNGURAHUA;46,284;13,551;18,392;14,341;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;94,546;87,199;4,489;2,859;;;;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
EL ORO;63,163;37,438;15,146;10,579;;;;;
ESMERALDAS;14,461;1,563;7,786;5,112;;;;;
GUAYAS;85,000;65,222;6,766;13,012;;;;;
LOS RÍOS;17,150;7,712;4,079;5,360;;;;;
MANABÍ;94,918;36,472;27,066;31,380;;;;;
SANTA ELENA;18,589;18,467;;122;;;;;
;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;
MORONA SANTIAGO;10,234;1,323;4,595;4,316;;;;;
NAPO;4,213;3,358;855;;;;;;
ORELLANA;3,131;813;1,256;1,062;;;;;
PASTAZA;3,190;1,376;1,181;633;;;;;
SUCUMBÍOS;10,715;7,558;1,350;1,806;;;;;
ZAMORA CHINCHIPE;7,666;3,819;1,934;1,913;;;;;
;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;
ZONA NO DELIMITADA;10;;;10;;;;;
;;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;
;;;;;;;;;
Nota: El período de referencia es el día de la entrevista;;;;;;;;;
