;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Región y Provincia;GANADO PORCINO AL AÑO;;;ÍNDICE;;;;;
;TOTAL;;;;;;;;
;;;;;;;;;
TOTAL NACIONAL;1,717,853;;;;;;;;
REGIÓN SIERRA;1,068,779;;;;;;;;
REGIÓN COSTA;569,816;;;;;;;;
REGIÓN AMAZÓNICA;79,244;;;;;;;;
ZONA NO DELIMITADA;14;;;;;;;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
AZUAY;123,393;;;;;;;;
BOLÍVAR;74,198;;;;;;;;
CAÑAR;54,904;;;;;;;;
CARCHI;93,550;;;;;;;;
COTOPAXI;94,728;;;;;;;;
CHIMBORAZO;59,676;;;;;;;;
IMBABURA;248,588;;;;;;;;
LOJA;44,538;;;;;;;;
PICHINCHA;42,405;;;;;;;;
TUNGURAHUA;55,629;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;177,170;;;;;;;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
EL ORO;218,889;;;;;;;;
ESMERALDAS;17,947;;;;;;;;
GUAYAS;112,615;;;;;;;;
LOS RÍOS;23,853;;;;;;;;
MANABÍ;137,197;;;;;;;;
SANTA ELENA;59,315;;;;;;;;
;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;
MORONA SANTIAGO;18,932;;;;;;;;
NAPO;10,389;;;;;;;;
ORELLANA;3,868;;;;;;;;
PASTAZA;4,410;;;;;;;;
SUCUMBÍOS;24,612;;;;;;;;
ZAMORA CHINCHIPE;17,034;;;;;;;;
;;;;;;;;;
ZONA NO DELIMITIDA;;;;;;;;;
ZONA NO DELIMITADA;14;;;;;;;;
;;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;
;;;;;;;;;
Nota: El período de referencia es desde el 1 de enero al 31 de diciembre 2024;;;;;;;;;
;;;;;;;;;
