CULTIVOS TRANSITORIOS;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE;;
;; Sembrada ; Cosechada ;;;;;;
TOTAL NACIONAL;Solo; 872,298 ; 850,157 ;;;;;;
;Asociado; 38,766 ; 33,982 ;;;;;;
;;;;;;;;;
ARROZ (EN CÁSCARA);Solo;404,818;402,121;1,943,953;1,893,030;;;;
;Asociado;114;114;473;459;;;;
ARVEJA SECA (GRANO SECO);Solo;1,145;955;782;617;;;;
;Asociado;137;136;28;;;;;
ARVEJA TIERNA (EN VAINA);Solo;3,367;3,137;9,829;9,220;;;;
;Asociado;343;281;930;817;;;;
BRÓCOLI (REPOLLO);Solo;9,989;9,944;124,632;123,838;;;;
;Asociado;31;19;147;139;;;;
CEBADA (GRANO SECO);Solo;7,167;6,637;10,462;7,683;;;;
;Asociado;;;;;;;;
CEBOLLA BLANCA (TALLO FRESCO);Solo;5,609;5,420;23,725;23,707;;;;
;Asociado;5;4;10;10;;;;
FRÉJOL SECO (GRANO SECO);Solo;12,995;12,225;12,124;11,007;;;;
;Asociado;12,373;10,675;5,736;3,459;;;;
FRÉJOL TIERNO (VAINA);Solo;3,672;3,591;13,232;12,939;;;;
;Asociado;3,501;3,250;5,648;5,239;;;;
HABA SECA (GRANO SECO);Solo;868;849;1,463;1,042;;;;
;Asociado;1,782;1,273;457;87;;;;
HABA TIERNA (VAINA);Solo;3,662;3,467;14,321;13,678;;;;
;Asociado;787;597;1,633;1,383;;;;
MAÍZ DURO CHOCLO (CHOCLO);Solo;3,126;2,745;6,563;6,091;;;;
;Asociado;74;50;100;22;;;;
MAÍZ DURO SECO (GRANO SECO);Solo;274,345;267,589;1,173,617;1,141,457;;;;
;Asociado;6,678;6,246;21,587;20,620;;;;
MAÍZ SUAVE CHOCLO (CHOCLO);Solo;12,253;11,127;40,726;36,790;;;;
;Asociado;887;731;1,824;1,104;;;;
MAÍZ SUAVE SECO (GRANO SECO);Solo;42,747;38,796;62,050;48,127;;;;
;Asociado;9,585;8,527;7,517;2,720;;;;
MANÍ (GRANO DESCASCARADO);Solo;2,770;2,612;2,661;2,413;;;;
;Asociado;491;332;87;65;;;;
PAPA (TUBÉRCULO FRESCO);Solo;14,444;13,617;220,884;206,403;;;;
;Asociado;104;71;303;229;;;;
QUINUA (GRANO SECO);Solo;804;800;1,129;869;;;;
;Asociado;;;;;;;;
SOYA (GRANO SECO);Solo;18,781;18,746;24,711;24,686;;;;
;Asociado;;;;;;;;
TABACO (HOJA SECA);Solo;6,875;6,866;9,553;8,453;;;;
;Asociado;;;;;;;;
TOMATE RIÑÓN (FRUTA FRESCA);Solo;1,449;1,419;66,192;65,854;;;;
;Asociado;28;28;89;73;;;;
TRIGO (GRANO SECO);Solo;3,211;3,057;7,323;6,882;;;;
;Asociado;;;;;;;;
YUCA (RAÍZ FRESCA);Solo;11,369;10,663;83,660;72,121;;;;
;Asociado;1,084;973;1,108;484;;;;
OTROS TRANSITORIOS;Solo;26,832;23,776;;;;;;
;Asociado;763;675;;;;;;
;;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;
