;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Región y Provincia;TOTAL;AVES CRIADAS EN CAMPO;;;;;ÍNDICE;;;
;;Gallos y gallinas;Pollitos, Pollitas, Pollos, Pollas;Patos;Pavos;;;;;
TOTAL NACIONAL;6,558,274;3,524,149;2,742,461;272,174;19,491;;;;;
REGIÓN SIERRA;2,126,393;1,252,261;800,127;66,875;7,130;;;;;
REGIÓN COSTA;3,630,317;1,882,492;1,582,199;154,861;10,765;;;;;
REGIÓN AMAZÓNICA;801,451;389,342;360,075;50,438;1,596;;;;;
ZONA NO DELIMITADA;113;54;59;;;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;391,125;250,713;132,410;7,132;870;;;;;
BOLÍVAR;201,025;108,780;79,196;11,105;1,944;;;;;
CAÑAR;173,622;100,124;69,092;4,081;325;;;;;
CARCHI;29,232;17,401;10,945;723;162;;;;;
COTOPAXI;223,441;122,418;92,541;8,070;413;;;;;
CHIMBORAZO;219,629;117,151;90,745;10,635;1,097;;;;;
IMBABURA;66,121;38,074;26,121;1,877;49;;;;;
LOJA;404,552;228,953;166,499;8,875;226;;;;;
PICHINCHA;130,688;78,439;47,875;3,199;1,175;;;;;
TUNGURAHUA;167,266;118,921;42,402;5,580;363;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;119,691;71,287;42,301;5,597;506;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;126,663;66,084;47,906;12,553;120;;;;;
ESMERALDAS;213,960;121,266;74,017;16,863;1,814;;;;;
GUAYAS;454,665;211,525;190,344;49,052;3,744;;;;;
LOS RÍOS;1,462,593;814,087;627,521;19,471;1,514;;;;;
MANABÍ;1,369,669;668,409;640,940;56,748;3,572;;;;;
SANTA ELENA;2,768;1,121;1,472;175;;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;243,550;102,325;109,849;30,519;857;;;;;
NAPO;56,276;40,478;15,276;521;1;;;;;
ORELLANA;96,398;49,995;44,964;1,439;;;;;;
PASTAZA;97,031;44,181;48,792;3,613;445;;;;;
SUCUMBÍOS;193,577;102,572;83,921;6,792;293;;;;;
ZAMORA CHINCHIPE;114,619;49,792;57,274;7,554;;;;;;
;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;
ZONA NO DELIMITADA;113;54;59;;;;;;;
;;;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;;
;;;;;;;;;;
Nota: El período de referencia es el día de la entrevista;;;;;;;;;;
