;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Región y Provincia;TOTAL;EXISTENCIA DE AVES CRIADAS EN PLANTELES AVÍCOLAS;;;;;;;ÍNDICE;;;
;;Gallinas Ponedoras;Gallinas Reproductoras;Pollos de Engorde;Avestruces;Pavos;Codornices;;;;;
TOTAL NACIONAL;62,463,369;16,216,024;1,819,433;44,017,366;;300,897;109,650;;;;;
REGIÓN SIERRA;30,700,444;14,072,586;871,835;15,414,874;;246,500;94,650;;;;;
REGIÓN COSTA;30,595,511;2,143,233;796,096;27,586,786;;54,397;15,000;;;;;
REGIÓN AMAZÓNICA;1,167,414;205;151,502;1,015,707;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;
;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;
AZUAY;1,878,370;786,000;22,000;1,070,370;;;;;;;;
BOLÍVAR;45;;;45;;;;;;;;
CAÑAR;561,580;;145,000;416,580;;;;;;;;
CARCHI;407,051;37,500;;329,551;;40,000;;;;;;
COTOPAXI;5,814,337;4,647,291;;1,107,046;;;60,000;;;;;
CHIMBORAZO;3,587,551;1,478,840;;2,080,712;;;28,000;;;;;
IMBABURA;1,222,646;;199,500;921,646;;101,500;;;;;;
LOJA;330,300;41,000;114,800;174,000;;;500;;;;;
PICHINCHA;5,131,856;1,323,356;350,000;3,398,500;;60,000;0;;;;;
TUNGURAHUA;6,355,618;5,651,349;0;698,269;;;6,000;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;5,411,090;107,250;40,535;5,218,155;;45,000;150;;;;;
;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;
EL ORO;4,711,690;164,463;21,809;4,510,419;;;15,000;;;;;
ESMERALDAS;;;;;;;;;;;;
GUAYAS;20,084,416;155,310;438,787;19,482,919;;7,400;;;;;;
LOS RÍOS;229,180;80;55,000;174,100;;;;;;;;
MANABÍ;4,997,195;1,723,351;280,500;2,988,347;;4,997;;;;;;
SANTA ELENA;573,030;100,030;;431,000;;42,000;;;;;;
;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;
MORONA SANTIAGO;3,960;;;3,960;;;;;;;;
NAPO;67,102;;67,002;100;;;;;;;;
ORELLANA;40,534;;;40,534;;;;;;;;
PASTAZA;1,025,818;205;84,500;941,113;;;;;;;;
SUCUMBÍOS;;;;;;;;;;;;
ZAMORA CHINCHIPE;30,000;;;30,000;;;;;;;;
;;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;
;;;;;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;;;;
;;;;;;;;;;;;
Nota: El período de referencia es el día de la entrevista;;;;;;;;;;;;
