;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
Región y Provincia;Pollos de engorde;;;ÍNDICE;;;;
;;;;;;;;
TOTAL NACIONAL;212,040,960;;;;;;;
REGIÓN SIERRA;92,625,935;;;;;;;
REGIÓN COSTA;114,026,443;;;;;;;
REGIÓN AMAZÓNICA;5,388,582;;;;;;;
ZONA NO DELIMITADA;;;;;;;;
;;;;;;;;
REGIÓN SIERRA;;;;;;;;
AZUAY;5,624,603;;;;;;;
BOLÍVAR;760;;;;;;;
CAÑAR;2,513,380;;;;;;;
CARCHI;2,975,800;;;;;;;
COTOPAXI;5,584,228;;;;;;;
CHIMBORAZO;12,462,079;;;;;;;
IMBABURA;6,105,400;;;;;;;
LOJA;930,450;;;;;;;
PICHINCHA;25,621,237;;;;;;;
TUNGURAHUA;3,470,256;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;27,337,742;;;;;;;
;;;;;;;;
REGIÓN COSTA;;;;;;;;
EL ORO;17,195,374;;;;;;;
ESMERALDAS;;;;;;;;
GUAYAS;70,694,550;;;;;;;
LOS RÍOS;1,013,400;;;;;;;
MANABÍ;23,996,480;;;;;;;
SANTA ELENA;1,126,640;;;;;;;
;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;
MORONA SANTIAGO;5,940;;;;;;;
NAPO;36,500;;;;;;;
ORELLANA;47,842;;;;;;;
PASTAZA;5,244,300;;;;;;;
SUCUMBÍOS;;;;;;;;
ZAMORA CHINCHIPE;54,000;;;;;;;
;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;
;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;
;;;;;;;;
Nota: El período de referencia es desde el 1 de enero al 31 de diciembre 2024;;;;;;;;
