;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Región y Provincia;AVES CRIADAS EN CAMPO;;;;;;;;;ÍNDICE;
;GALLOS Y GALLINAS;;POLLITOS, POLLITAS, POLLOS, POLLAS;;PATOS;;PAVOS;;;;
;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;;;
TOTAL NACIONAL;142,619;948,301;25,176;113,491;3,205;31,049;61;961;;;
REGIÓN SIERRA;54,740;321,138;13,818;32,920;594;5,771;32;225;;;
REGIÓN COSTA;70,650;518,416;9,067;71,963;2,049;15,431;29;681;;;
REGIÓN AMAZÓNICA;17,229;108,731;2,291;8,595;561;9,847;;56;;;
ZONA NO DELIMITADA;;17;;14;;;;;;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
AZUAY;13,399;62,567;668;2,874;179;227;;;;;
BOLÍVAR;1,966;34,746;79;6,347;;1,355;32;112;;;
CAÑAR;3,957;26,963;;1,468;;145;;;;;
CARCHI;974;5,320;441;409;;19;;19;;;
COTOPAXI;8,081;26,357;5,693;6,007;;242;;;;;
CHIMBORAZO;5,223;25,396;3,439;1,892;134;574;;;;;
IMBABURA;1,446;11,451;833;832;;129;;;;;
LOJA;9,204;67,279;584;4,284;146;2,147;;;;;
PICHINCHA;5,835;21,663;358;531;;;;;;;
TUNGURAHUA;3,763;21,726;1,700;2,997;135;238;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;891;17,669;23;5,279;;696;;94;;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
EL ORO;4,104;13,758;1,640;713;78;557;;;;;
ESMERALDAS;2,997;27,170;;331;;851;;;;;
GUAYAS;2,668;66,163;1,399;10,379;1,036;6,573;;167;;;
LOS RÍOS;2,126;211,232;89;6,415;279;1,388;22;129;;;
MANABÍ;58,754;199,772;5,939;53,714;656;6,061;7;385;;;
SANTA ELENA;;320;;411;;1;;;;;
;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;
MORONA SANTIAGO;8,041;33,687;436;2,942;531;8,818;;20;;;
NAPO;1,963;3,610;;;;16;;;;;
ORELLANA;2,667;15,122;829;538;;;;;;;
PASTAZA;;13,263;;707;30;183;;;;;
SUCUMBÍOS;4,216;31,095;1,026;1,747;;535;;36;;;
ZAMORA CHINCHIPE;342;11,954;;2,661;;295;;;;;
;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;
ZONA NO DELIMITADA;;320;;411;;1;;;;;
;;;;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;;;
;;;;;;;;;;;
Nota: El período de referencia es del 1 de julio al 30 de septiembre 2024;;;;;;;;;;;
