;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Región y Provincia;NÚMERO TOTAL DE VACAS ORDEÑADAS;PRODUCCIÓN TOTAL DE LECHE (Litros);Destino Principal de la leche (litros);;;;;;;ÍNDICE;;;
;;;Vendida en líquido;Consumo en los terrenos ;Alimentación al balde;Procesada en los terrenos ;Destinada a otros fines;Desperdiciada;;;;;
;;;;;;;;;;;;;
TOTAL NACIONAL;783,268;5,313,493;4,074,567;250,868;166,965;782,849;34,528;3,717;;;;;
REGIÓN SIERRA;519,191;4,123,969;3,590,390;153,993;118,084;243,987;15,803;1,713;;;;;
REGIÓN COSTA;221,453;989,418;396,470;80,155;39,989;452,183;18,620;2,002;;;;;
REGIÓN AMAZÓNICA;42,246;196,580;84,248;16,660;8,886;86,678;105;2;;;;;
ZONA NO DELIMITADA;379;3,526;3,459;61;6;;;;;;;;
;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;
AZUAY;70,665;455,885;337,273;48,292;9,499;59,248;1,360;213;;;;;
BOLÍVAR;31,351;144,554;66,783;19,255;499;57,864;11;142;;;;;
CAÑAR;33,888;353,643;335,231;9,842;249;8,320;;;;;;;
CARCHI;35,921;326,712;295,624;8,061;22,045;453;397;132;;;;;
COTOPAXI;68,362;611,063;581,309;13,881;10,580;4,544;611;138;;;;;
CHIMBORAZO;84,717;633,722;590,794;15,663;19,657;6,989;436;182;;;;;
IMBABURA;16,808;126,675;103,229;7,069;4,207;12,095;71;4;;;;;
LOJA;21,998;102,609;12,621;10,203;143;79,449;;193;;;;;
PICHINCHA;72,391;709,653;649,692;11,565;39,595;4,784;3,378;639;;;;;
TUNGURAHUA;61,040;514,941;497,031;6,335;11,340;93;138;5;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;22,048;144,514;120,803;3,828;269;10,149;9,400;64;;;;;
;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;
EL ORO;11,107;71,704;16,922;4,324;1,233;49,192;;34;;;;;
ESMERALDAS;25,077;152,727;59,801;8,782;22,249;61,770;3;123;;;;;
GUAYAS;28,533;110,114;63,338;9,255;1,374;35,710;284;153;;;;;
LOS RÍOS;7,783;41,795;14,873;7,535;547;5,913;12,453;474;;;;;
MANABÍ;148,934;613,014;241,473;50,257;14,586;299,599;5,880;1,219;;;;;
SANTA ELENA;19;64;63;1;;;;;;;;;
;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;
MORONA SANTIAGO;9,049;43,383;6,916;2,629;105;33,628;105;0;;;;;
NAPO;2,432;20,981;19,997;388;596;;;;;;;;
ORELLANA;4,642;15,824;12,633;1,461;1,656;72;;2;;;;;
PASTAZA;2,476;12,985;6,789;25;466;5,704;;;;;;;
SUCUMBÍOS;12,641;53,416;25,082;10,568;6,038;11,728;;0;;;;;
ZAMORA CHINCHIPE;11,006;49,991;12,831;1,589;25;35,546;;0;;;;;
;;;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;;
ZONA NO DELIMITADA;379;3,526;3,459;61;6;;;;;;;;
;;;;;;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;;;;;
;;;;;;;;;;;;;
Nota: El período de referencia es el dia de ayer ;;;;;;;;;;;;;
