;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia;TOTAL;;;NÚMERO DE TRABAJADORES;;;;;;;;;;ÍNDICE
;;;;SIN REMUNERACIÓN;;;TRABAJADORES REMUNERADOS;;;;;;;
;;;;PERSONA PRODUCTORA Y/O FAMILIARES;;;PERMANENTES;;;OCASIONALES;;;;
;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;;
TOTAL NACIONAL;2,286,667;1,476,296;810,372;1,666,654;970,953;695,701;231,928;185,115;46,813;388,085;320,228;67,857;;
REGIÓN SIERRA;1,301,921;710,221;591,700;1,030,297;524,640;505,657;103,979;68,717;35,262;167,646;116,863;50,782;;
REGIÓN COSTA;847,425;683,477;163,948;511,144;374,916;136,228;121,493;110,443;11,051;214,787;198,119;16,669;;
REGIÓN AMAZÓNICA;137,152;82,497;54,656;125,044;71,295;53,749;6,456;5,956;500;5,652;5,246;406;;
ZONA NO DELIMITADA;169;101;68;169;101;68;;;;;;;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY;123,768;59,661;64,107;112,026;51,091;60,935;3,711;2,520;1,191;8,031;6,050;1,981;;
BOLÍVAR;88,718;56,364;32,353;79,821;47,897;31,924;1,817;1,604;213;7,080;6,864;216;;
CAÑAR;48,692;24,608;24,084;41,279;18,292;22,987;3,248;2,768;480;4,165;3,547;618;;
CARCHI;94,949;64,995;29,954;24,368;15,008;9,360;3,218;2,114;1,104;67,363;47,873;19,490;;
COTOPAXI;201,478;96,805;104,673;168,720;79,562;89,159;21,515;10,501;11,014;11,243;6,742;4,500;;
CHIMBORAZO;224,225;113,156;111,070;185,965;91,890;94,075;2,664;1,575;1,089;35,596;19,690;15,906;;
IMBABURA;73,337;43,409;29,928;62,472;35,745;26,726;6,797;4,409;2,388;4,068;3,255;813;;
LOJA;80,927;44,076;36,851;77,638;40,913;36,725;1,208;1,153;56;2,081;2,010;70;;
PICHINCHA;125,359;67,100;58,259;84,563;43,878;40,685;35,714;19,998;15,716;5,082;3,225;1,857;;
TUNGURAHUA;180,890;91,555;89,335;165,860;82,245;83,615;2,346;1,545;800;12,684;7,764;4,920;;
SANTO DOMINGO DE LOS TSÁCHILAS;59,580;48,493;11,087;27,585;18,119;9,466;21,742;20,531;1,211;10,253;9,843;410;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO;54,474;42,354;12,120;26,042;17,538;8,504;15,662;13,959;1,703;12,770;10,857;1,913;;
ESMERALDAS;81,692;60,602;21,090;61,055;41,032;20,022;9,825;9,212;613;10,812;10,358;454;;
GUAYAS;239,051;196,518;42,533;149,087;114,512;34,575;31,900;29,506;2,394;58,064;52,500;5,564;;
LOS RÍOS;217,703;174,306;43,396;121,176;88,131;33,045;45,049;39,333;5,716;51,478;46,843;4,635;;
MANABÍ;248,909;204,821;44,088;150,545;111,110;39,435;17,454;16,903;551;80,910;76,807;4,103;;
SANTA ELENA;5,595;4,876;720;3,239;2,593;646;1,604;1,530;74;753;753;;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO;31,270;17,808;13,462;29,209;15,928;13,281;1,412;1,283;128;649;597;52;;
NAPO;17,167;9,422;7,746;16,775;9,061;7,714;102;97;5;290;264;26;;
ORELLANA;17,356;10,054;7,303;15,925;8,753;7,171;1,036;939;97;396;362;34;;
PASTAZA;13,567;7,509;6,058;13,014;7,062;5,952;327;237;90;226;210;16;;
SUCUMBÍOS;44,956;29,601;15,355;38,840;23,901;14,939;3,324;3,151;173;2,792;2,549;243;;
ZAMORA CHINCHIPE;12,836;8,103;4,732;11,282;6,591;4,691;256;249;7;1,299;1,264;35;;
;;;;;;;;;;;;;;
ZONAS NO DELIMITADAS;;;;;;;;;;;;;;
ZONA NO DELIMITADA;169;101;68;169;101;68;;;;;;;;
;;;;;;;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;;;;;;
Nota: El período de referencia es la semana anterior laborable a la entrevista;;;;;;;;;;;;;;
