;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Región y Provincia;TOTAL;SUPERFICIE PLANTADA (Has.);;;;;;;ÍNDICE;;
;;BRACHIARIA;GRAMALOTE;PASTO MIEL ;SABOYA;PASTO MIXTO;OTROS PASTOS CULTIVADOS;;;;
TOTAL NACIONAL;2,242,399;131,877;131,241;138,995;762,705;729,797;347,784;;;;
REGIÓN SIERRA;793,349;58,068;12,953;88,113;36,412;396,991;200,812;;;;
REGIÓN COSTA;1,073,437;68,791;15,680;45,877;702,540;171,151;69,398;;;;
REGIÓN AMAZÓNICA;373,626;5,018;102,608;5,005;23,753;159,668;77,574;;;;
ZONA NO DELIMITADA;1,987;;;;;1,987;;;;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
AZUAY;112,347;219;131;286;236;72,739;38,735;;;;
BOLÍVAR;100,901;10,036;487;16,219;5,573;39,497;29,089;;;;
CAÑAR;63,218;88;351;;;51,418;11,361;;;;
CARCHI;30,560;200;1,209;1,449;61;19,937;7,703;;;;
COTOPAXI;67,803;469;5;8,840;1,039;29,167;28,285;;;;
CHIMBORAZO;51,134;3,478;;11;594;33,804;13,247;;;;
IMBABURA;45,843;280;9,108;8,735;3,867;10,221;13,633;;;;
LOJA;128,124;5,397;438;33,246;;52,728;36,316;;;;
PICHINCHA;63,657;13,664;130;7,108;2,375;30,423;9,956;;;;
TUNGURAHUA;31,633;;206;779;;21,775;8,874;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;98,129;24,237;888;11,440;22,667;35,283;3,613;;;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
EL ORO;108,559;7,477;229;40,203;451;40,326;19,872;;;;
ESMERALDAS;165,055;27,445;15,303;3,921;77,854;32,696;7,836;;;;
GUAYAS;97,268;6,219;;;34,836;30,345;25,868;;;;
LOS RÍOS;30,042;1,759;148;988;12,096;12,782;2,270;;;;
MANABÍ;671,149;25,748;;765;576,191;55,001;13,444;;;;
SANTA ELENA;1,365;143;;;1,113;;110;;;;
;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;
MORONA SANTIAGO;160,908;1,518;71,171;;;62,554;25,665;;;;
NAPO;3,534;;310;1,460;;84;1,680;;;;
ORELLANA;33,860;3;258;;1,035;27,647;4,918;;;;
PASTAZA;22,284;1;21,090;;;1,192;;;;;
SUCUMBÍOS;70,804;546;1,079;3,545;22,718;23,536;19,380;;;;
ZAMORA CHINCHIPE;82,235;2,951;8,700;;;44,654;25,931;;;;
;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;
ZONA NO DELIMITADA;1,987;;;;;1,987;;;;;
;;;;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;;;
