;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
Tamaño de Unidad de Producción Agropecuaria;SEXO;;;ÍNDICE;;;;
;HOMBRES;MUJERES;;;;;;
;;;;;;;;
TOTAL NACIONAL;70.2%;29.8%;;;;;;
;;;;;;;;
Menor a 1 hectárea;53.6%;46.4%;;;;;;
De 1 hectárea a menos de 2 hectáreas;62.7%;37.3%;;;;;;
De 2 hectáreas a menos de 3 hectáreas;68.7%;31.3%;;;;;;
De 3 hectáreas a menos de 5 hectáreas;71.9%;28.1%;;;;;;
De 5 hectáreas a menos de 10 hectáreas;75.8%;24.2%;;;;;;
De 10 hectáreas a menos de 20 hectáreas;77.4%;22.6%;;;;;;
De 20 hectáreas a menos de 50 hectáreas;81.7%;18.3%;;;;;;
De 50 hectáreas a menos de 100 hectáreas;84.6%;15.4%;;;;;;
De 100 hectáreas a menos de 200 hectáreas;85.1%;14.9%;;;;;;
Mayor a 200 hectáreas;88.7%;11.3%;;;;;;
;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;
;;;;;;;;
;;;;;;;;
Tamaño de Unidad de Producción Agropecuaria;INSTRUCCIÓN FORMAL;;;;;;;
;PRIMARIA/EDUCACIÓN PRIMARIA;SECUNDARIA/ EDUCACIÓN SECUNDARIA;SUPERIOR;POSGRADO;NINGUNA;NO INFORMA;;
;;;;;;;;
TOTAL NACIONAL;54.3%;19.7%;11.8%;1.1%;13.1%;0.0%;;
;;;;;;;;
Menor a 1 hectárea;57.8%;18.7%;4.4%;0.4%;18.7%;0.0%;;
De 1 hectárea a menos de 2 hectáreas;59.0%;18.2%;5.3%;0.5%;17.0%;0.0%;;
De 2 hectáreas a menos de 3 hectáreas;59.2%;19.6%;6.1%;0.4%;14.8%;0.0%;;
De 3 hectáreas a menos de 5 hectáreas;58.5%;20.2%;7.8%;0.5%;13.0%;0.0%;;
De 5 hectáreas a menos de 10 hectáreas;58.5%;20.6%;8.3%;0.4%;12.2%;0.0%;;
