CULTIVOS TRANSITORIOS;;SUPERFICIE SEMBRADA (Has.);;;;;;;;;ÍNDICE
;;TIPO DE SEMILLA UTILIZADA;;;;;PRÁCTICA DE CULTIVO;;;;
;;Común;Mejorada;Certificada;Híbrida Nacional;Híbrida Internacional;Riego;Aplicación de Fertilizantes;Aplicación de Fitosanitarios;;
TOTAL NACIONAL;Solo; 414,126 ; 212,616 ; 223,418 ; 12,423 ; 9,715 ; 428,757 ; 800,159 ; 762,794 ;;
;Asociado; 30,858 ; 4,550 ; 1,486 ; 1,840 ; 32 ; 5,925 ; 28,506 ; 19,001 ;;
;;;;;;;;;;;
ARROZ (EN CÁSCARA);Solo;220,607;108,695;75,124;113;280;323,466;391,147;384,088;;
;Asociado;30;84;;;;84;84;84;;
ARVEJA SECA (GRANO SECO);Solo;1,078;67;;;;262;812;758;;
;Asociado;136;0;;;;25;40;88;;
ARVEJA TIERNA (EN VAINA);Solo;2,056;1,307;;;4;1,571;2,478;1,820;;
;Asociado;340;3;;;;56;128;190;;
BROCOLI (REPOLLO);Solo;181;642;7,864;1;1,302;9,984;9,951;9,866;;
;Asociado;26;5;;;;26;31;;;
CEBADA (GRANO SECO);Solo;6,312;856;;;;1,560;3,180;1,828;;
;Asociado;;;;;;;;;;
CEBOLLA BLANCA (TALLO FRESCO);Solo;5,018;337;;3;250;1,132;5,324;4,012;;
;Asociado;;;;5;;5;5;;;
FRÉJOL SECO (GRANO SECO);Solo;11,350;1,263;18;333;30;1,992;9,740;11,690;;
;Asociado;11,714;659;;;;2,125;9,088;5,513;;
FRÉJOL TIERNO (EN VAINA);Solo;2,405;1,259;;8;;2,194;3,053;3,215;;
;Asociado;3,355;146;;;;328;3,244;2,797;;
HABA SECA (GRANO SECO);Solo;801;66;;;;195;275;336;;
;Asociado;1,759;23;;;;267;895;185;;
HABA TIERNA (EN VAINA);Solo;2,756;905;;;;973;3,091;1,835;;
;Asociado;734;54;;;;72;435;235;;
MAÍZ DURO CHOCLO (EN CHOCLO);Solo;665;521;1,657;6;276;2,071;2,709;2,604;;
;Asociado;68;6;;;;6;33;34;;
MAÍZ DURO SECO (GRANO SECO);Solo;52,223;71,424;132,230;11,248;7,220;41,779;263,614;249,129;;
;Asociado;538;2,905;1,432;1,786;16;634;6,446;6,313;;
MAÍZ SUAVE CHOCLO (EN CHOCLO);Solo;10,183;1,966;66;37;;4,373;9,914;8,552;;
;Asociado;835;52;;;;333;689;390;;
MAÍZ SUAVE SECO (GRANO SECO);Solo;39,055;1,667;1,976;48;;5,059;27,573;21,403;;
;Asociado;9,372;213;;;;1,148;6,494;2,356;;
MANÍ (GRANO DESCASCARADO);Solo;2,341;350;79;;;449;2,198;2,201;;
;Asociado;113;329;;48;;374;231;391;;
PAPA (TUBÉRCULO FRESCO);Solo;12,089;2,061;284;11;;4,700;13,886;12,374;;
;Asociado;104;;;;;79;104;47;;
QUINUA (GRANO SECO);Solo;804;;;;;69;591;204;;
;Asociado;;;;;;;;;;
SOYA (GRANO SECO);Solo;7,737;10,884;160;;;2,756;15,634;16,273;;
;Asociado;;;;;;;;;;
TABACO (HOJA SECA);Solo;6,067;782;26;;;6,875;6,832;6,767;;
;Asociado;;;;;;;;;;
TOMATE RIÑÓN (FRUTA FRESCA);Solo;228;855;219;43;105;1,388;1,407;1,383;;
;Asociado;28;0;;;;28;28;28;;
TRIGO (GRANO SECO);Solo;1,314;408;1,221;269;;1,678;2,752;1,058;;
;Asociado;;;;;;;;;;
YUCA (RAÍZ FRESCA);Solo;10,847;522;;;;1,844;4,044;5,833;;
;Asociado;1,084;;;;;1;46;61;;
OTROS TRANSITORIOS;Solo;18,008;5,779;2,495;302;248;12,389;19,954;15,568;;
;Asociado;622;71;55;;16;335;484;288;;
;;;;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;;;
