;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
TIPO DE CRIANZA Y ESPECIE;Existencia 1;Ventas 2;Autoconsumo 3;;ÍNDICE;;;;
;;;;;;;;;
AVES CRIADAS EN CAMPO;;;;;;;;;
Gallos y gallinas;3,295,129;165,096;920,109;;;;;;
Pollitos, Pollitas, Pollos, Pollas;2,654,428;54,277;84,777;;;;;;
Patos;376,746;15,812;27,800;;;;;;
Pavos;41,312;812;1,624;;;;;;
;;;;;;;;;
AVES CRIADAS EN PLANTELES AVÍCOLAS;;;;;;;;;
Gallinas Ponedoras;10,844,664;1,100,790;17;;;;;;
Gallinas Reproductoras;1,547,973;611,633;;;;;;;
Pollos de Engorde;22,241,458;37,863,180;3,497;;;;;;
Avestruces;;456,550;;;;;;;
Pavos;413,759;255,000;;;;;;;
Codornices;325,801;12,000;;;;;;;
;;;;;;;;;
Notas:;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;
(1) Para existencia el periodo de referencia es el día de la entrevista;;;;;;;;;
(2) (3) Para ventas y autoconsumo el período de referencia es del 1 de julio al 30 de septiembre 2022;;;;;;;;;
