;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;6,303;4,329;26,440;26,131;;
REGIÓN SIERRA;;6,206;4,281;25,906;25,685;;
REGIÓN COSTA;;97;48;534;446;;
REGIÓN AMAZÓNICA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;20;0;2;2;;
;Asociado;;;;;;
BOLÍVAR;Solo;56;17;106;106;;
;Asociado;;;;;;
CAÑAR;Solo;44;44;108;108;;
;Asociado;;;;;;
CARCHI;Solo;2,022;1,706;11,985;11,870;;
;Asociado;197;125;389;382;;
COTOPAXI;Solo;4;;;;;
;Asociado;;;;;;
CHIMBORAZO;Solo;169;1;1;1;;
;Asociado;;;;;;
IMBABURA;Solo;1,284;800;3,521;3,504;;
;Asociado;184;142;485;480;;
LOJA;Solo;;;;;;
;Asociado;;;;;;
PICHINCHA;Solo;1,303;769;4,552;4,523;;
;Asociado;274;274;2,622;2,622;;
TUNGURAHUA;Solo;623;398;2,121;2,073;;
;Asociado;24;5;15;14;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo;15;15;138;138;;
;Asociado;;;;;;
GUAYAS;Solo;43;32;378;291;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;39;1;18;18;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;
