;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;172,653;167,544;6,078,789;5,915,187;;
REGIÓN SIERRA;;12,230;11,068;283,776;261,836;;
REGIÓN COSTA;;160,061;156,205;5,791,899;5,650,739;;
REGIÓN AMAZÓNICA;;362;270;3,113;2,612;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;455;426;3,270;688;;
;Asociado;134;88;545;501;;
BOLÍVAR;Solo;2,309;2,290;13,713;12,672;;
;Asociado;182;173;2,068;1,853;;
CAÑAR;Solo;2,259;1,966;69,820;69,818;;
;Asociado;;;;;;
CARCHI;Solo;4;4;34;19;;
;Asociado;;;;;;
COTOPAXI;Solo;3,452;3,390;137,108;130,017;;
;Asociado;;;;;;
CHIMBORAZO;Solo;29;1;10;9;;
;Asociado;;;;;;
IMBABURA;Solo;58;40;159;10;;
;Asociado;;;;;;
LOJA;Solo;1,214;931;25,390;18,319;;
;Asociado;1,659;1,299;12,814;9,373;;
PICHINCHA;Solo;14;;;;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;461;461;18,847;18,558;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;43,232;42,170;1,234,954;1,221,254;;
;Asociado;74;9;47;38;;
ESMERALDAS;Solo;181;181;2,521;2,131;;
;Asociado;162;162;490;367;;
GUAYAS;Solo;48,202;47,934;1,935,250;1,871,141;;
;Asociado;151;151;1,814;1,814;;
LOS RÍOS;Solo;61,161;58,877;2,566,718;2,511,666;;
;Asociado;3,666;3,666;5,634;5,634;;
MANABÍ;Solo;1,411;1,235;17,023;10,810;;
;Asociado;1,200;1,200;7,084;5,546;;
SANTA ELENA;Solo;621;621;20,364;20,338;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;117;58;1,066;906;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;52;52;1,394;1,341;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;12;6;10;1;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;181;153;643;365;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;
