;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;591,557;509,179;337,149;336,587;;
REGIÓN SIERRA;;83,822;74,589;49,894;49,668;;
REGIÓN COSTA;;451,841;392,743;265,425;265,186;;
REGIÓN AMAZÓNICA;;55,894;41,847;21,830;21,733;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;2,764;2,570;1,205;1,205;;
;Asociado;;;;;;
BOLÍVAR;Solo;12,485;11,508;7,867;7,867;;
;Asociado;10,141;9,622;8,499;8,499;;
CAÑAR;Solo;3,825;3,492;1,206;1,206;;
;Asociado;;;;;;
CARCHI;Solo;;;;;;
;Asociado;;;;;;
COTOPAXI;Solo;4,776;4,396;2,568;2,368;;
;Asociado;2,810;1,720;1,143;1,143;;
CHIMBORAZO;Solo;685;599;326;326;;
;Asociado;77;7;4;4;;
IMBABURA;Solo;760;580;245;245;;
;Asociado;75;69;12;12;;
LOJA;Solo;19;13;1;;;
;Asociado;;;;;;
PICHINCHA;Solo;16,825;14,492;11,636;11,636;;
;Asociado;1,341;1,231;889;889;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;22,669;20,586;12,215;12,189;;
;Asociado;4,570;3,704;2,081;2,081;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;8,342;5,781;2,380;2,377;;
;Asociado;526;450;229;229;;
ESMERALDAS;Solo;82,918;66,606;36,573;36,559;;
;Asociado;5,844;3,585;1,366;1,366;;
GUAYAS;Solo;90,683;84,317;63,446;63,267;;
;Asociado;8,252;6,684;5,513;5,513;;
LOS RÍOS;Solo;116,026;107,211;93,119;93,097;;
;Asociado;15,119;12,975;11,151;11,151;;
MANABÍ;Solo;109,741;95,165;45,790;45,787;;
;Asociado;12,924;8,814;4,183;4,166;;
SANTA ELENA;Solo;1,465;1,155;1,675;1,675;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;665;606;364;358;;
;Asociado;;;;;;
NAPO;Solo;6,822;6,065;3,713;3,712;;
;Asociado;;;;;;
ORELLANA;Solo;21,293;15,280;9,823;9,818;;
;Asociado;397;119;51;51;;
PASTAZA;Solo;126;108;46;46;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;25,098;18,341;7,338;7,291;;
;Asociado;1,116;1,019;322;322;;
ZAMORA CHINCHIPE;Solo;377;309;173;135;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;
