;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;7,185;5,857;40,342;39,280;;
REGIÓN SIERRA;;2,247;1,857;17,143;16,759;;
REGIÓN COSTA;;4,604;3,853;22,573;21,918;;
REGIÓN AMAZÓNICA;;334;147;626;603;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;63;32;122;120;;
;Asociado;;;;;;
BOLÍVAR;Solo;;;;;;
;Asociado;;;;;;
CAÑAR;Solo;23;23;35;;;
;Asociado;;;;;;
CARCHI;Solo;460;317;2,269;2,265;;
;Asociado;184;102;455;440;;
COTOPAXI;Solo;;;;;;
;Asociado;;;;;;
CHIMBORAZO;Solo;6;6;34;34;;
;Asociado;;;;;;
IMBABURA;Solo;417;415;3,467;3,467;;
;Asociado;91;64;233;203;;
LOJA;Solo;46;46;234;;;
;Asociado;8;8;23;23;;
PICHINCHA;Solo;402;303;3,486;3,462;;
;Asociado;392;392;5,614;5,614;;
TUNGURAHUA;Solo;121;117;892;861;;
;Asociado;8;8;40;32;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;25;25;239;239;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;528;301;730;727;;
;Asociado;875;631;2,089;2,086;;
ESMERALDAS;Solo;171;134;626;622;;
;Asociado;;;;;;
GUAYAS;Solo;269;165;666;503;;
;Asociado;45;45;187;0;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;1,990;1,885;10,996;10,746;;
;Asociado;65;57;182;139;;
SANTA ELENA;Solo;657;632;7,089;7,088;;
;Asociado;4;2;7;7;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;12;12;13;13;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;72;3;13;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;205;88;399;399;;
;Asociado;44;44;201;191;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;
