;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;13,989;7,692;56,104;55,855;;
REGIÓN SIERRA;;1,590;1,111;11,924;11,865;;
REGIÓN COSTA;;12,225;6,441;43,418;43,228;;
REGIÓN AMAZÓNICA;;175;140;762;762;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;93;93;301;301;;
;Asociado;;;;;;
BOLÍVAR;Solo;;;;;;
;Asociado;;;;;;
CAÑAR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;20;20;400;400;;
;Asociado;;;;;;
COTOPAXI;Solo;;;;;;
;Asociado;;;;;;
CHIMBORAZO;Solo;55;38;404;404;;
;Asociado;;;;;;
IMBABURA;Solo;53;2;12;11;;
;Asociado;37;;;;;
LOJA;Solo;;;;;;
;Asociado;;;;;;
PICHINCHA;Solo;270;129;1,068;1,063;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;991;777;9,572;9,519;;
;Asociado;72;52;166;166;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;172;158;1,320;1,319;;
;Asociado;;;;;;
ESMERALDAS;Solo;4,711;1,616;9,409;9,409;;
;Asociado;1,613;900;6,355;6,355;;
GUAYAS;Solo;755;578;5,082;5,002;;
;Asociado;;;;;;
LOS RÍOS;Solo;304;210;1,163;1,163;;
;Asociado;179;179;936;936;;
MANABÍ;Solo;4,212;2,680;16,719;16,609;;
;Asociado;64;22;65;65;;
SANTA ELENA;Solo;213;99;2,370;2,370;;
;Asociado;2;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;175;140;762;762;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;
