;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
   ;;;;;;;
Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;18,411;16,324;205,539;200,150;;
REGIÓN SIERRA;;11,721;10,344;136,823;134,472;;
REGIÓN COSTA;;5,651;5,101;59,414;56,408;;
REGIÓN AMAZÓNICA;;1,039;879;9,301;9,271;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;11;11;129;;;
;Asociado;;;;;;
BOLÍVAR;Solo;1,663;1,642;17,912;17,780;;
;Asociado;8,219;7,548;109,011;107,625;;
CAÑAR;Solo;17;17;40;;;
;Asociado;;;;;;
CARCHI;Solo;31;17;72;72;;
;Asociado;6;6;12;11;;
COTOPAXI;Solo;70;30;178;144;;
;Asociado;512;251;1,443;1,443;;
CHIMBORAZO;Solo;;;;;;
;Asociado;39;;;;;
IMBABURA;Solo;;;;;;
;Asociado;;;;;;
LOJA;Solo;;;;;;
;Asociado;;;;;;
PICHINCHA;Solo;16;16;18;;;
;Asociado;2;2;8;8;;
TUNGURAHUA;Solo;0;0;1;1;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;389;355;6,543;5,943;;
;Asociado;746;449;1,456;1,445;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;2;2;12;11;;
;Asociado;;;;;;
ESMERALDAS;Solo;313;254;2,297;1,889;;
;Asociado;;;;;;
GUAYAS;Solo;289;218;1,288;714;;
;Asociado;45;45;197;;;
LOS RÍOS;Solo;447;389;3,065;2,873;;
;Asociado;2,338;2,175;35,441;34,900;;
MANABÍ;Solo;1,085;995;11,445;10,473;;
;Asociado;1,121;1,012;5,596;5,477;;
SANTA ELENA;Solo;8;8;64;64;;
;Asociado;2;2;8;7;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;243;154;2,549;2,518;;
;Asociado;83;74;38;38;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;416;416;5,830;5,830;;
;Asociado;297;234;885;885;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;
