;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;7,739;7,227;43,955;37,400;;
REGIÓN SIERRA;;5,302;5,158;35,102;31,489;;
REGIÓN COSTA;;844;793;3,606;3,160;;
REGIÓN AMAZÓNICA;;1,593;1,275;5,247;2,752;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;50;33;380;304;;
;Asociado;;;;;;
BOLÍVAR;Solo;1,878;1,878;8,869;8,124;;
;Asociado;;;;;;
CAÑAR;Solo;7;3;8;4;;
;Asociado;;;;;;
CARCHI;Solo;75;75;122;;;
;Asociado;;;;;;
COTOPAXI;Solo;794;762;10,151;9,670;;
;Asociado;315;281;754;666;;
CHIMBORAZO;Solo;240;240;652;575;;
;Asociado;;;;;;
IMBABURA;Solo;165;165;423;423;;
;Asociado;;;;;;
LOJA;Solo;;;;;;
;Asociado;;;;;;
PICHINCHA;Solo;50;50;711;437;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;1,729;1,673;13,031;11,286;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;137;86;228;212;;
;Asociado;;;;;;
ESMERALDAS;Solo;27;27;187;;;
;Asociado;;;;;;
GUAYAS;Solo;403;403;1,857;1,857;;
;Asociado;171;171;756;756;;
LOS RÍOS;Solo;105;105;578;335;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;382;223;1,422;655;;
;Asociado;71;57;190;173;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;445;445;1,509;1,323;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;623;542;2,120;600;;
;Asociado;72;8;6;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;
