;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE;;;
;; Plantada ; Cosechada ;;;;;;;
TOTAL NACIONAL;;196,082;141,381;2,296,402;1,910,630;;;;;
REGIÓN SIERRA;;14,148;6,058;45,087;45,087;;;;;
REGIÓN COSTA;;145,185;109,503;1,884,672;1,703,468;;;;;
REGIÓN AMAZÓNICA;;36,749;25,821;366,643;162,074;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;Solo;;;;;;;;;
;Asociado;;;;;;;;;
BOLÍVAR;Solo;20;18;385;385;;;;;
;Asociado;5;;;;;;;;
CAÑAR;Solo;;;;;;;;;
;Asociado;;;;;;;;;
CARCHI;Solo;;;;;;;;;
;Asociado;;;;;;;;;
COTOPAXI;Solo;1,279;1,279;13,743;13,743;;;;;
;Asociado;;;;;;;;;
CHIMBORAZO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
IMBABURA;Solo;788;241;174;174;;;;;
;Asociado;13;13;53;53;;;;;
LOJA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
PICHINCHA;Solo;5,481;1,579;9,837;9,837;;;;;
;Asociado;758;107;1,129;1,129;;;;;
TUNGURAHUA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;5,492;2,509;18,303;18,303;;;;;
;Asociado;312;311;1,464;1,464;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ESMERALDAS;Solo;63,341;40,926;659,550;478,346;;;;;
;Asociado;521;361;4,339;4,339;;;;;
GUAYAS;Solo;25,258;16,941;346,147;346,147;;;;;
;Asociado;;;;;;;;;
LOS RÍOS;Solo;46,140;43,863;770,088;770,088;;;;;
;Asociado;153;58;376;376;;;;;
MANABÍ;Solo;9,772;7,353;104,173;104,173;;;;;
;Asociado;;;;;;;;;
SANTA ELENA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
NAPO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ORELLANA;Solo;11,546;6,462;66,948;66,948;;;;;
;Asociado;;;;;;;;;
PASTAZA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SUCUMBÍOS;Solo;23,903;18,401;293,967;89,399;;;;;
;Asociado;1,300;957;5,728;5,728;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;
