;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;133,145;114,526;857,562;794,745;;
REGIÓN SIERRA;;29,101;24,462;201,438;185,949;;
REGIÓN COSTA;;91,655;81,411;608,748;571,885;;
REGIÓN AMAZÓNICA;;12,388;8,653;47,376;36,911;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;16;6;19;10;;
;Asociado;;;;;;
BOLÍVAR;Solo;1,840;1,773;10,937;9,857;;
;Asociado;832;817;3,801;3,709;;
CAÑAR;Solo;63;63;492;;;
;Asociado;;;;;;
CARCHI;Solo;534;449;1,861;1,423;;
;Asociado;;;;;;
COTOPAXI;Solo;810;714;10,551;9,209;;
;Asociado;1,936;893;5,587;5,493;;
CHIMBORAZO;Solo;1,263;402;1,390;795;;
;Asociado;264;38;84;34;;
IMBABURA;Solo;1,222;923;8,200;7,820;;
;Asociado;160;150;768;500;;
LOJA;Solo;280;110;1,491;274;;
;Asociado;162;;;;;
PICHINCHA;Solo;711;655;6,970;5,717;;
;Asociado;464;174;688;415;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;14,753;13,866;123,786;117,155;;
;Asociado;3,789;3,429;24,813;23,537;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;1,009;732;3,923;3,586;;
;Asociado;452;251;2,956;2,594;;
ESMERALDAS;Solo;3,639;2,702;16,405;12,447;;
;Asociado;3,303;2,783;9,136;7,470;;
GUAYAS;Solo;9,378;7,874;77,757;73,658;;
;Asociado;7,741;7,127;59,182;57,559;;
LOS RÍOS;Solo;4,556;4,159;45,281;40,547;;
;Asociado;8,109;7,473;51,796;50,701;;
MANABÍ;Solo;41,585;37,712;279,570;266,781;;
;Asociado;10,891;10,207;58,754;52,826;;
SANTA ELENA;Solo;992;390;3,988;3,716;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;1,659;823;9,804;5,538;;
;Asociado;184;113;1,338;1,275;;
NAPO;Solo;1,163;1,146;8,345;7,600;;
;Asociado;;;;;;
ORELLANA;Solo;3,718;2,982;13,342;11,157;;
;Asociado;;;;;;
PASTAZA;Solo;958;665;3,059;2,355;;
;Asociado;2;1;4;;;
SUCUMBÍOS;Solo;3,791;2,278;7,825;5,449;;
;Asociado;461;249;430;413;;
ZAMORA CHINCHIPE;Solo;441;388;3,192;3,101;;
;Asociado;12;9;36;23;;
;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;
