;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;;1,649;1,480;787;470;;
REGIÓN SIERRA;;1,618;1,449;752;456;;
REGIÓN COSTA;;31;31;35;14;;
REGIÓN AMAZÓNICA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;57;53;10;2;;
;Asociado;12;12;7;;;
BOLÍVAR;Solo;412;410;235;128;;
;Asociado;;;;;;
CAÑAR;Solo;13;12;7;6;;
;Asociado;46;46;4;;;
CARCHI;Solo;232;214;95;73;;
;Asociado;;;;;;
COTOPAXI;Solo;94;94;98;88;;
;Asociado;;;;;;
CHIMBORAZO;Solo;437;323;145;74;;
;Asociado;;;;;;
IMBABURA;Solo;230;228;132;82;;
;Asociado;;;;;;
LOJA;Solo;54;26;6;;;
;Asociado;11;11;4;2;;
PICHINCHA;Solo;20;20;8;;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;31;31;35;14;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;
;;;;;;;
