;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
ÁRBOLES DISPERSOS;NÚMERO DE ÁRBOLES;PRODUCCIÓN (Tm.);VENTAS (Tm.);;ÍNDICE;;;;
ACHIOTE (GRANO SECO); 1,158 ; 1 ; 0 ;;;;;;
AGUACATE (FRUTA FRESCA); 185,930 ; 7,779 ; 2,636 ;;;;;;
BANANO (FRUTA FRESCA); 751,998 ; 13,042 ; 611 ;;;;;;
CACAO (ALMENDRA SECA); 96,303 ; 221 ; 192 ;;;;;;
CAFÉ (GRANO ORO); 50,514 ; 31 ; 9 ;;;;;;
CLAUDIA (FRUTA FRESCA); 25,241 ; 285 ; 69 ;;;;;;
CHIRIMOYA (FRUTA FRESCA); 21,874 ; 228 ; 8 ;;;;;;
CIRUELO (FRUTA FRESCA); 20,064 ; 525 ; 288 ;;;;;;
COCOTERO (FRUTA FRESCA); 40,037 ; 1,313 ; 365 ;;;;;;
DURAZNO (FRUTA FRESCA); 24,133 ; 122 ; 41 ;;;;;;
GUABA (FRUTA FRESCA); 48,612 ; 1,338 ; 198 ;;;;;;
GUANÁBANA (FRUTA FRESCA); 35,910 ; 2,770 ; 1,577 ;;;;;;
GUAYABA (FRUTA FRESCA); 39,849 ; 764 ; 443 ;;;;;;
LIMA (FRUTA FRESCA); 11,117 ; 102 ; 25 ;;;;;;
LIMÓN (FRUTA FRESCA); 244,298 ; 5,838 ; 1,159 ;;;;;;
MANDARINA (FRUTA FRESCA); 615,276 ; 24,749 ; 15,633 ;;;;;;
MANGO (FRUTA FRESCA); 319,700 ; 21,472 ; 2,256 ;;;;;;
MANZANA (FRUTA FRESCA); 23,183 ; 176 ; 98 ;;;;;;
MARACUYÁ (FRUTA FRESCA); 6,777 ; 148 ; 32 ;;;;;;
NARANJA (FRUTA FRESCA); 1,251,948 ; 59,795 ; 22,268 ;;;;;;
ORITO (FRUTA FRESCA); 106,599 ; 855 ; 256 ;;;;;;
PAPAYA (FRUTA FRESCA); 79,899 ; 1,238 ; 208 ;;;;;;
PERA (FRUTA FRESCA); 6,875 ; 79 ; 28 ;;;;;;
PIÑA (FRUTA FRESCA); 9,043 ; 8 ; 0 ;;;;;;
PLÁTANO (FRUTA FRESCA); 2,957,730 ; 35,979 ; 10,422 ;;;;;;
TOMATE DE ÁRBOL (FRUTA FRESCA); 30,295 ; 129 ; 32 ;;;;;;
TORONJA (FRUTA FRESCA); 47,814 ; 6,020 ; 761 ;;;;;;
ZAPOTE (FRUTA FRESCA); 30,261 ; 3,114 ; 787 ;;;;;;
OTROS PERMANENTES; 118,315 ; 3,635 ; 721 ;;;;;;
;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;
