;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;;26,376;23,198;14,672;12,110;;
REGIÓN SIERRA;;22,902;20,186;11,663;9,264;;
REGIÓN COSTA;;3,371;2,918;2,974;2,847;;
REGIÓN AMAZÓNICA;;102;93;36;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;20;16;13;3;;
;Asociado;3,116;2,364;866;195;;
BOLÍVAR;Solo;6,770;6,480;3,884;3,580;;
;Asociado;737;531;281;230;;
CAÑAR;Solo;65;65;24;;;
;Asociado;894;640;205;60;;
CARCHI;Solo;804;784;810;798;;
;Asociado;182;182;146;143;;
COTOPAXI;Solo;943;943;721;719;;
;Asociado;32;30;18;;;
CHIMBORAZO;Solo;3,263;2,981;1,840;1,614;;
;Asociado;99;65;55;42;;
IMBABURA;Solo;1,212;1,179;1,246;1,184;;
;Asociado;1,804;1,739;705;430;;
LOJA;Solo;82;46;19;16;;
;Asociado;2,021;1,603;617;105;;
PICHINCHA;Solo;173;173;94;94;;
;Asociado;624;319;61;9;;
TUNGURAHUA;Solo;37;21;26;12;;
;Asociado;20;20;27;27;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;5;5;4;2;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;410;253;76;25;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;1,102;1,085;1,141;1,128;;
;Asociado;334;334;377;367;;
LOS RÍOS;Solo;275;275;499;497;;
;Asociado;430;430;503;487;;
MANABÍ;Solo;112;106;103;103;;
;Asociado;709;436;274;241;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;93;93;36;;;
NAPO;Solo;9;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;
