;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;;3,906;3,260;2,142;1,015;;
REGIÓN SIERRA;;3,848;3,207;2,129;1,005;;
REGIÓN COSTA;;58;53;14;10;;
REGIÓN AMAZÓNICA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;28;28;5;;;
;Asociado;657;547;197;14;;
BOLÍVAR;Solo;294;281;302;143;;
;Asociado;;;;;;
CAÑAR;Solo;17;16;9;4;;
;Asociado;211;146;42;3;;
CARCHI;Solo;107;107;215;200;;
;Asociado;;;;;;
COTOPAXI;Solo;212;197;110;42;;
;Asociado;14;14;8;;;
CHIMBORAZO;Solo;689;580;601;312;;
;Asociado;6;6;5;;;
IMBABURA;Solo;166;75;41;30;;
;Asociado;330;327;104;58;;
LOJA;Solo;1;1;6;;;
;Asociado;962;744;313;55;;
PICHINCHA;Solo;74;58;78;66;;
;Asociado;52;52;9;;;
TUNGURAHUA;Solo;21;21;59;54;;
;Asociado;7;7;25;25;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;20;15;4;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;37;37;10;10;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;
