;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE;;;
;; Sembrada ; Cosechada ;;;;;;;
TOTAL NACIONAL;;372,581;362,473;1,641,131;1,600,236;;;;;
REGIÓN SIERRA;;27,157;24,299;85,624;73,891;;;;;
REGIÓN COSTA;;328,203;321,412;1,522,733;1,495,571;;;;;
REGIÓN AMAZÓNICA;;17,220;16,762;32,775;30,774;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;Solo;1,804;1,278;2,880;542;;;;;
;Asociado;552;394;404;233;;;;;
BOLÍVAR;Solo;68;59;135;83;;;;;
;Asociado;1;0;0;;;;;;
CAÑAR;Solo;176;145;114;67;;;;;
;Asociado;;;;;;;;;
CARCHI;Solo;1,084;943;3,056;2,954;;;;;
;Asociado;68;68;39;31;;;;;
COTOPAXI;Solo;1,055;1,034;1,160;993;;;;;
;Asociado;14;;;;;;;;
CHIMBORAZO;Solo;288;264;330;125;;;;;
;Asociado;68;68;38;36;;;;;
IMBABURA;Solo;696;624;1,662;1,201;;;;;
;Asociado;126;126;108;92;;;;;
LOJA;Solo;18,674;16,876;61,578;54,123;;;;;
;Asociado;;;;;;;;;
PICHINCHA;Solo;640;602;2,465;2,232;;;;;
;Asociado;;;;;;;;;
TUNGURAHUA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;1,799;1,778;11,619;11,180;;;;;
;Asociado;44;39;36;;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;Solo;1,497;1,398;3,387;2,779;;;;;
;Asociado;39;25;13;;;;;;
ESMERALDAS;Solo;2,208;2,195;10,108;9,778;;;;;
;Asociado;252;252;461;158;;;;;
GUAYAS;Solo;63,754;61,962;301,901;297,158;;;;;
;Asociado;462;433;1,946;1,903;;;;;
LOS RÍOS;Solo;140,965;140,655;685,550;681,005;;;;;
;Asociado;1,771;1,751;8,793;8,644;;;;;
MANABÍ;Solo;110,764;106,533;474,673;459,000;;;;;
;Asociado;3,181;2,897;15,685;14,938;;;;;
SANTA ELENA;Solo;3,310;3,310;20,215;20,208;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;Solo;402;376;1,046;841;;;;;
;Asociado;93;59;63;;;;;;
NAPO;Solo;454;454;462;398;;;;;
;Asociado;;;;;;;;;
ORELLANA;Solo;9,581;9,392;18,822;17,826;;;;;
;Asociado;138;138;157;140;;;;;
PASTAZA;Solo;93;93;111;32;;;;;
;Asociado;;;;;;;;;
SUCUMBÍOS;Solo;6,382;6,175;12,048;11,497;;;;;
;Asociado;41;41;19;18;;;;;
ZAMORA CHINCHIPE;Solo;37;35;47;22;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;
