;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CULTIVOS PERMANENTES;;SUPERFICIE PERDIDA (Has.);;;;;;;;ÍNDICE;
;;Total;Sequía;Helada;Plagas;Enfermedades;Inundación;Otra razón;;;
TOTAL NACIONAL;Solo; 50,327 ; 2,087 ; 1,922 ; 16,800 ; 10,142 ; 811 ; 18,566 ;;;
;Asociado; 7,243 ; 90 ; 910 ; 3,276 ; 739 ; 409 ; 1,819 ;;;
;;;;;;;;;;;
AGUACATE (FRUTA FRESCA);Solo; 264 ; 44 ; 20 ; 39 ; 61 ;; 99 ;;;
;Asociado; 68 ;;;;; 68 ;;;;
BANANO (FRUTA FRESCA);Solo; 1,335 ; 48 ; 27 ; 847 ; 106 ; 88 ; 219 ;;;
;Asociado; 386 ; 14 ; 41 ; 235 ; 47 ; 0 ; 49 ;;;
CACAO (ALMENDRA SECA);Solo; 19,577 ; 1,320 ; 1,361 ; 7,612 ; 2,603 ; 247 ; 6,434 ;;;
;Asociado; 2,385 ;; 277 ; 1,016 ; 117 ; 281 ; 694 ;;;
CAFÉ (GRANO ORO);Solo; 1,385 ; 302 ; 24 ; 393 ; 284 ; 1 ; 382 ;;;
;Asociado; 931 ; 1 ; 146 ; 372 ; 114 ; 28 ; 270 ;;;
CAÑA DE AZÚCAR PARA AZÚCAR (TALLO FRESCO);Solo; 873 ;;; 241 ;; 1 ; 632 ;;;
;Asociado;;;;;;;;;;
CAÑA DE AZÚCAR PARA OTROS USOS (TALLO FRESCO);Solo; 374 ; 79 ; 27 ; 23 ; 54 ; 72 ; 119 ;;;
;Asociado;;;;;;;;;;
LIMÓN (FRUTA FRESCA);Solo; 399 ; 2 ; 72 ; 214 ;; 76 ; 35 ;;;
;Asociado; 252 ;; 33 ; 170 ; 41 ;; 9 ;;;
MANGO (FRUTA FRESCA);Solo; 118 ;; 31 ; 64 ; 20 ;; 3 ;;;
;Asociado;;;;;;;;;;
MARACUYÁ (FRUTA FRESCA);Solo; 232 ; 124 ; 3 ; 91 ; 14 ;;;;;
;Asociado; 44 ; 44 ;;;;;;;;
NARANJA (FRUTA FRESCA);Solo; 105 ;; 25 ; 44 ;;; 36 ;;;
;Asociado; 350 ;;; 189 ; 33 ;; 129 ;;;
ORITO (FRUTA FRESCA);Solo; 142 ;;; 115 ; 2 ;; 26 ;;;
;Asociado; 79 ;;; 34 ; 14 ;; 31 ;;;
PALMA AFRICANA (FRUTA FRESCA);Solo; 13,629 ;; 35 ; 3,590 ; 6,314 ;; 3,690 ;;;
;Asociado; 373 ;;; 96 ; 274 ;; 3 ;;;
PALMITO (TALLO FRESCO);Solo; 17 ;;;;;; 17 ;;;
;Asociado;;;;;;;;;;
PIÑA (FRUTA FRESCA);Solo; 179 ;;; 52 ; 104 ; 23 ;;;;
;Asociado;;;;;;;;;;
PLÁTANO (FRUTA FRESCA);Solo; 3,608 ; 130 ; 42 ; 1,896 ; 502 ; 187 ; 850 ;;;
;Asociado; 2,331 ; 20 ; 399 ; 1,148 ; 99 ; 31 ; 634 ;;;
TOMATE DE ÁRBOL (FRUTA FRESCA);Solo; 66 ;;; 36 ; 13 ; 13 ; 4 ;;;
;Asociado;;;;;;;;;;
OTROS PERMANENTES;Solo; 8,025 ; 37 ; 255 ; 1,544 ; 66 ; 104 ; 6,020 ;;;
;Asociado; 41 ; 10 ; 14 ; 16 ;;; 1 ;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;;
