;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;;19,390;17,926;251,433;232,513;;
REGIÓN SIERRA;;19,351;17,887;251,182;232,361;;
REGIÓN COSTA;;39;39;252;152;;
REGIÓN AMAZÓNICA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;1,637;1,583;6,557;5,329;;
;Asociado;81;39;177;63;;
BOLÍVAR;Solo;1,461;1,461;17,133;14,813;;
;Asociado;4;4;17;17;;
CAÑAR;Solo;767;694;2,596;2,089;;
;Asociado;7;2;26;26;;
CARCHI;Solo;4,679;4,468;109,385;104,954;;
;Asociado;;;;;;
COTOPAXI;Solo;3,370;3,078;41,318;38,829;;
;Asociado;21;21;255;227;;
CHIMBORAZO;Solo;2,643;2,237;20,391;17,991;;
;Asociado;;;;;;
IMBABURA;Solo;391;335;5,731;5,142;;
;Asociado;15;15;7;;;
LOJA;Solo;541;521;1,529;857;;
;Asociado;16;16;60;35;;
PICHINCHA;Solo;1,501;1,400;20,041;18,373;;
;Asociado;25;25;58;22;;
TUNGURAHUA;Solo;2,150;1,951;25,694;23,399;;
;Asociado;41;36;208;195;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;39;39;252;152;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;
