;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;;1,886;1,809;52,229;51,589;;
REGIÓN SIERRA;;1,517;1,458;48,611;48,024;;
REGIÓN COSTA;;316;316;2,661;2,661;;
REGIÓN AMAZÓNICA;;53;35;957;904;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;43;43;2,089;2,057;;
;Asociado;;;;;;
BOLÍVAR;Solo;86;86;1,004;993;;
;Asociado;;;;;;
CAÑAR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;50;16;1,143;1,142;;
;Asociado;;;;;;
COTOPAXI;Solo;277;277;13,631;13,600;;
;Asociado;;;;;;
CHIMBORAZO;Solo;526;519;16,660;16,563;;
;Asociado;;;;;;
IMBABURA;Solo;158;155;7,480;7,480;;
;Asociado;;;;;;
LOJA;Solo;48;48;589;588;;
;Asociado;;;;;;
PICHINCHA;Solo;186;186;3,329;2,954;;
;Asociado;;;;;;
TUNGURAHUA;Solo;143;128;2,685;2,648;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;147;147;551;551;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;169;169;2,110;2,110;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;34;28;645;592;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;19;8;312;312;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;
