;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;;4,510;4,395;7,431;6,402;;
REGIÓN SIERRA;;4,428;4,334;7,397;6,402;;
REGIÓN COSTA;;82;61;34;;;
REGIÓN AMAZÓNICA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;134;124;89;22;;
;Asociado;;;;;;
BOLÍVAR;Solo;1,164;1,101;1,587;1,247;;
;Asociado;;;;;;
CAÑAR;Solo;1;1;3;3;;
;Asociado;;;;;;
CARCHI;Solo;1,609;1,599;3,528;3,525;;
;Asociado;;;;;;
COTOPAXI;Solo;59;59;79;35;;
;Asociado;;;;;;
CHIMBORAZO;Solo;759;751;952;490;;
;Asociado;;;;;;
IMBABURA;Solo;192;192;285;242;;
;Asociado;;;;;;
LOJA;Solo;8;4;15;;;
;Asociado;;;;;;
PICHINCHA;Solo;503;503;858;839;;
;Asociado;;;;;;
TUNGURAHUA;Solo;1;1;1;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;82;61;34;;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;
