;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia; TOTAL ; GANADO VACUNO ;;;;;;;;;ÍNDICE;;;
;; SUBTOTAL ; MACHOS ;;; SUBTOTAL ; HEMBRAS ;;;;;;;
;;; De menos de 1 año de edad (Terneros) ; De 1 año a menos de 2 años de edad (Toretes) ; De 2 o más años de edad (Toros)  ;; De menos de 1 año de edad (Terneras) ; De 1 año a menos de 2 años de edad (Vaconas) ; De 2 o más años de edad (Vacas) ;;;;;
TOTAL NACIONAL;142,362;55,969;37,156;11,373;7,440;86,393;22,699;16,340;47,354;;;;;
REGIÓN SIERRA;87,175;35,934;22,784;7,914;5,236;51,241;13,164;9,629;28,449;;;;;
REGIÓN COSTA;40,434;14,996;11,637;2,136;1,223;25,437;7,963;4,320;13,155;;;;;
REGIÓN AMAZÓNICA;14,754;5,039;2,735;1,324;981;9,715;1,573;2,391;5,751;;;;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY;10,885;4,171;2,337;777;1,058;6,714;888;1,030;4,797;;;;;
BOLÍVAR;7,112;3,193;1,539;875;779;3,919;722;666;2,532;;;;;
CAÑAR;4,246;1,619;1,141;245;233;2,627;249;702;1,676;;;;;
CARCHI;3,878;1,114;782;280;53;2,764;1,017;276;1,471;;;;;
COTOPAXI;10,272;4,968;3,436;1,049;483;5,305;2,287;1,038;1,979;;;;;
CHIMBORAZO;9,918;5,012;3,696;556;761;4,906;2,089;484;2,333;;;;;
IMBABURA;5,121;1,976;863;817;297;3,144;784;781;1,579;;;;;
LOJA;8,036;2,596;1,456;791;348;5,440;530;1,354;3,556;;;;;
PICHINCHA;17,492;6,321;4,458;1,136;726;11,172;3,086;1,961;6,125;;;;;
TUNGURAHUA;5,772;3,131;1,884;824;423;2,641;827;868;945;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;4,443;1,833;1,194;564;75;2,609;684;469;1,456;;;;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO;4,981;2,059;1,249;413;398;2,922;283;698;1,941;;;;;
ESMERALDAS;6,231;2,430;1,627;468;335;3,801;1,135;542;2,124;;;;;
GUAYAS;5,006;1,340;907;338;95;3,666;510;961;2,195;;;;;
LOS RÍOS;2,373;571;404;138;29;1,801;543;173;1,086;;;;;
MANABÍ;21,606;8,535;7,390;780;366;13,071;5,402;1,906;5,763;;;;;
SANTA ELENA;237;61;61;;;176;90;40;46;;;;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO;4,540;1,297;663;188;446;3,243;436;448;2,359;;;;;
NAPO;1,225;281;151;117;13;944;234;110;600;;;;;
ORELLANA;1,131;211;97;91;22;920;133;374;414;;;;;
PASTAZA;656;84;0;36;47;572;20;269;283;;;;;
SUCUMBÍOS;4,964;2,169;1,157;772;240;2,795;583;1,131;1,081;;;;;
ZAMORA CHINCHIPE;2,238;997;666;118;212;1,241;167;59;1,014;;;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;;;;;
