;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;ÍNDICE;;;
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros) ;;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;;;;
TOTAL NACIONAL;21,480;8,102;3,966;2,610;1,526;13,379;2,550;3,587;7,242;;;;;
REGIÓN SIERRA;10,418;4,699;1,929;1,808;962;5,718;657;1,700;3,362;;;;;
REGIÓN COSTA;9,921;2,851;1,873;680;299;7,070;1,765;1,857;3,447;;;;;
REGIÓN AMAZÓNICA;1,142;552;164;122;265;590;128;30;433;;;;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY;951;353;169;50;134;598;92;122;384;;;;;
BOLÍVAR;706;318;52;222;45;388;16;39;333;;;;;
CAÑAR;1,160;285;88;70;127;875;;167;708;;;;;
CARCHI;451;144;121;23;;306;23;193;90;;;;;
COTOPAXI;1,390;906;354;330;222;484;57;87;340;;;;;
CHIMBORAZO;720;304;189;;116;416;89;262;65;;;;;
IMBABURA;787;313;22;191;101;473;98;130;245;;;;;
LOJA;797;233;36;157;40;564;86;161;316;;;;;
PICHINCHA;1,429;624;254;253;117;805;73;233;500;;;;;
TUNGURAHUA;1,068;666;241;425;;402;;261;140;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;959;552;403;88;61;407;124;45;239;;;;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO;679;149;11;66;73;529;7;160;363;;;;;
ESMERALDAS;2,081;645;226;302;116;1,436;281;282;873;;;;;
GUAYAS;1,318;138;12;56;70;1,180;192;600;388;;;;;
LOS RÍOS;301;8;7;1;;293;39;5;249;;;;;
MANABÍ;5,479;1,867;1,574;255;39;3,611;1,246;811;1,554;;;;;
SANTA ELENA;64;44;44;;;20;;;20;;;;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO;534;237;54;73;109;298;30;29;240;;;;;
NAPO;86;86;86;;;;;;;;;;;
ORELLANA;81;3;2;;1;78;74;;4;;;;;
PASTAZA;1;;;;;1;;;1;;;;;
SUCUMBÍOS;269;71;22;49;;198;24;;174;;;;;
ZAMORA CHINCHIPE;170;155;;;155;15;;1;14;;;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;;;;;
