;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;ÍNDICE;;;;;;;
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;;;;;;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros) ;;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;;;;;;;;
TOTAL NACIONAL; 20,667 ; 8,107 ; 1,210 ; 3,129 ; 3,767 ; 12,560 ; 1,050 ; 1,651 ; 9,859 ;;;;;;;;;
REGIÓN SIERRA; 8,483 ; 4,422 ; 546 ; 906 ; 2,970 ; 4,061 ; 431 ; 739 ; 2,891 ;;;;;;;;;
REGIÓN COSTA; 11,349 ; 3,334 ; 521 ; 2,116 ; 696 ; 8,016 ; 441 ; 801 ; 6,773 ;;;;;;;;;
REGIÓN AMAZÓNICA; 835 ; 351 ; 143 ; 106 ; 101 ; 483 ; 177 ; 111 ; 195 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;;;;;
AZUAY; 3,382 ; 1,756 ; 10 ; 48 ; 1,698 ; 1,626 ; 65 ; 380 ; 1,181 ;;;;;;;;;
BOLÍVAR; 232 ; 104 ; 38 ; 21 ; 45 ; 129 ;; 20 ; 109 ;;;;;;;;;
CAÑAR; 302 ; 68 ; 14 ;; 54 ; 234 ; 96 ; 6 ; 132 ;;;;;;;;;
CARCHI; 324 ; 247 ; 7 ; 37 ; 204 ; 77 ; 5 ;; 73 ;;;;;;;;;
COTOPAXI; 254 ; 70 ; 70 ;;; 184 ;;; 184 ;;;;;;;;;
CHIMBORAZO; 676 ; 316 ; 157 ; 33 ; 126 ; 360 ; 161 ; 17 ; 181 ;;;;;;;;;
IMBABURA; 95 ; 71 ;; 40 ; 31 ; 24 ; 2 ;; 22 ;;;;;;;;;
LOJA; 360 ; 218 ; 45 ; 94 ; 79 ; 143 ; 15 ; 63 ; 65 ;;;;;;;;;
PICHINCHA; 2,040 ; 1,090 ; 34 ; 370 ; 686 ; 950 ; 3 ; 233 ; 714 ;;;;;;;;;
TUNGURAHUA; 285 ; 116 ; 68 ;; 48 ; 169 ; 5 ;; 164 ;;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS; 532 ; 368 ; 104 ; 264 ;; 164 ; 80 ; 19 ; 65 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;;;;;
EL ORO; 2,463 ; 1,105 ; 48 ; 667 ; 390 ; 1,359 ; 12 ; 234 ; 1,112 ;;;;;;;;;
ESMERALDAS; 2,850 ; 635 ; 38 ; 555 ; 42 ; 2,214 ; 28 ; 173 ; 2,014 ;;;;;;;;;
GUAYAS; 1,489 ; 215 ; 131 ; 84 ;; 1,274 ; 131 ; 12 ; 1,131 ;;;;;;;;;
LOS RÍOS; 389 ; 361 ;; 188 ; 172 ; 28 ;; 28 ;;;;;;;;;;
MANABÍ; 4,158 ; 1,017 ; 304 ; 621 ; 91 ; 3,141 ; 271 ; 354 ; 2,516 ;;;;;;;;;
SANTA ELENA;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;;;;;
MORONA SANTIAGO; 213 ; 105 ;; 58 ; 48 ; 107 ;; 67 ; 40 ;;;;;;;;;
NAPO; 265 ; 82 ; 71 ; 11 ;; 183 ; 142 ; 17 ; 23 ;;;;;;;;;
ORELLANA; 60 ; 31 ; 29 ; 2 ;; 29 ; 29 ;;;;;;;;;;;
PASTAZA; 24 ; 15 ; 5 ; 7 ; 3 ; 9 ; 1 ; 3 ; 5 ;;;;;;;;;
SUCUMBÍOS; 236 ; 89 ; 38 ; 27 ; 24 ; 147 ; 2 ; 24 ; 121 ;;;;;;;;;
ZAMORA CHINCHIPE; 37 ; 28 ;; 1 ; 27 ; 9 ; 3 ;; 5 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;;;;;;;;;
