;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;ÍNDICE;;;
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros) ;;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;;;;
TOTAL NACIONAL; 581,464 ; 383,336 ; 143,741 ; 124,675 ; 114,920 ; 198,127 ; 25,183 ; 43,855 ; 129,089 ;;;;;
REGIÓN SIERRA; 315,876 ; 219,820 ; 117,178 ; 53,481 ; 49,161 ; 96,055 ; 15,448 ; 18,273 ; 62,334 ;;;;;
REGIÓN COSTA; 223,920 ; 135,728 ; 21,727 ; 58,383 ; 55,618 ; 88,191 ; 8,219 ; 21,819 ; 58,154 ;;;;;
REGIÓN AMAZÓNICA; 41,668 ; 27,788 ; 4,836 ; 12,811 ; 10,141 ; 13,880 ; 1,516 ; 3,763 ; 8,602 ;;;;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY; 34,926 ; 21,354 ; 8,730 ; 4,767 ; 7,857 ; 13,572 ; 2,092 ; 2,550 ; 8,930 ;;;;;
BOLÍVAR; 14,096 ; 6,323 ; 1,261 ; 2,913 ; 2,148 ; 7,773 ; 1,246 ; 1,870 ; 4,658 ;;;;;
CAÑAR; 13,788 ; 7,372 ; 3,221 ; 1,746 ; 2,405 ; 6,416 ; 1,104 ; 1,578 ; 3,734 ;;;;;
CARCHI; 16,052 ; 10,386 ; 5,918 ; 1,214 ; 3,255 ; 5,666 ; 1,762 ; 721 ; 3,182 ;;;;;
COTOPAXI; 34,956 ; 22,431 ; 10,042 ; 7,209 ; 5,180 ; 12,525 ; 4,501 ; 1,978 ; 6,045 ;;;;;
CHIMBORAZO; 66,531 ; 60,474 ; 50,930 ; 5,262 ; 4,282 ; 6,057 ; 431 ; 1,405 ; 4,221 ;;;;;
IMBABURA; 12,529 ; 9,594 ; 1,858 ; 3,999 ; 3,736 ; 2,936 ; 236 ; 1,009 ; 1,690 ;;;;;
LOJA; 17,470 ; 8,876 ; 2,149 ; 3,279 ; 3,448 ; 8,594 ; 1,088 ; 1,781 ; 5,725 ;;;;;
PICHINCHA; 62,249 ; 43,968 ; 21,411 ; 13,351 ; 9,206 ; 18,281 ; 1,690 ; 2,854 ; 13,737 ;;;;;
TUNGURAHUA; 21,957 ; 15,996 ; 6,775 ; 3,777 ; 5,444 ; 5,961 ; 497 ; 1,378 ; 4,085 ;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS; 21,322 ; 13,046 ; 4,883 ; 5,965 ; 2,199 ; 8,275 ; 801 ; 1,148 ; 6,326 ;;;;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO; 21,386 ; 14,701 ; 1,566 ; 5,418 ; 7,717 ; 6,685 ; 1,032 ; 1,362 ; 4,292 ;;;;;
ESMERALDAS; 48,645 ; 31,740 ; 2,773 ; 21,767 ; 7,200 ; 16,905 ; 1,141 ; 4,407 ; 11,357 ;;;;;
GUAYAS; 61,726 ; 47,013 ; 2,518 ; 8,035 ; 36,460 ; 14,713 ; 1,261 ; 3,866 ; 9,585 ;;;;;
LOS RÍOS; 10,976 ; 5,832 ; 1,536 ; 2,977 ; 1,319 ; 5,144 ; 932 ; 1,036 ; 3,176 ;;;;;
MANABÍ; 81,134 ; 36,403 ; 13,334 ; 20,156 ; 2,913 ; 44,731 ; 3,853 ; 11,147 ; 29,730 ;;;;;
SANTA ELENA; 53 ; 39 ;; 30 ; 10 ; 14 ;;; 14 ;;;;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO; 13,650 ; 7,715 ; 1,289 ; 3,376 ; 3,050 ; 5,936 ; 696 ; 2,020 ; 3,220 ;;;;;
NAPO; 2,754 ; 1,883 ; 790 ; 782 ; 310 ; 872 ; -   ; 127 ; 744 ;;;;;
ORELLANA; 7,195 ; 6,551 ; 1,410 ; 3,648 ; 1,492 ; 644 ; 31 ; 182 ; 431 ;;;;;
PASTAZA; 2,327 ; 784 ; 57 ; 307 ; 420 ; 1,543 ; 106 ; 242 ; 1,194 ;;;;;
SUCUMBÍOS; 11,901 ; 8,538 ; 1,038 ; 3,851 ; 3,649 ; 3,363 ; 368 ; 834 ; 2,161 ;;;;;
ZAMORA CHINCHIPE; 3,841 ; 2,318 ; 251 ; 847 ; 1,220 ; 1,523 ; 315 ; 357 ; 850 ;;;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;;;;;
