;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;;;;ÍNDICE
;;Brown Swiss;Brahman o cebú;Holstein Friesian;Jersey;Mestizos;Criollos;Girolando;Gyr;Charolains;Angus;Otra raza;;
TOTAL NACIONAL;3,861,711;243,733;491,057;383,984;110,473;1,385,020;957,967;76,106;59,301;73,102;19,328;61,639;;
REGIÓN SIERRA;2,046,190;107,872;96,271;347,381;71,321;719,262;634,539;13,506;5,925;12,559;8,670;28,885;;
REGIÓN COSTA;1,488,274;98,283;343,992;14,564;23,782;557,550;291,663;60,226;47,248;9,910;9,816;31,241;;
REGIÓN AMAZÓNICA;327,247;37,578;50,795;22,039;15,370;108,209;31,765;2,374;6,128;50,633;842;1,513;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY;286,315;8,023;8,093;48,628;10,191;105,691;102,090;143;;2,893;162;402;;
BOLÍVAR;137,265;20,232;3,877;7,528;3,932;59,075;40,621;814;846;281;;59;;
CAÑAR;113,495;1,889;1,970;10,119;3,948;55,640;37,349;4;121;620;;1,835;;
CARCHI;85,209;3,197;3,762;37,767;2,479;16,139;17,213;29;;350;;4,273;;
COTOPAXI;256,305;12,632;6,749;53,363;9,284;80,160;87,006;1,299;590;134;1,798;3,289;;
CHIMBORAZO;285,009;19,879;5,607;36,047;7,136;99,644;114,531;556;61;431;272;846;;
IMBABURA;100,933;7,208;6,329;9,875;1,791;39,041;28,433;64;61;5,969;16;2,147;;
LOJA;174,829;8,246;30,442;18,473;2,989;56,667;50,551;2,245;410;126;3,694;986;;
PICHINCHA;306,117;10,644;9,606;94,676;21,890;104,074;55,506;1,291;651;256;1,201;6,322;;
TUNGURAHUA;187,023;7,436;376;30,905;6,486;47,171;90,910;9;7;903;124;2,696;;
SANTO DOMINGO DE LOS TSÁCHILAS;113,689;8,485;19,459;;1,195;55,961;10,328;7,053;3,179;597;1,403;6,031;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO;140,254;16,024;65,632;7,888;512;25,612;11,205;1,396;2,490;3,767;1,950;3,777;;
ESMERALDAS;251,000;17,927;75,055;1;2,350;89,403;33,426;11,825;5,350;573;2,759;12,331;;
GUAYAS;222,624;12,362;52,031;94;6,654;87,663;40,940;2,190;7,815;3,471;2,753;6,650;;
LOS RÍOS;66,324;1,804;13,271;;113;32,332;13,796;1,207;1,431;;1,053;1,317;;
MANABÍ;805,455;49,969;137,066;6,581;14,144;322,517;190,896;43,595;30,163;2,099;1,300;7,125;;
SANTA ELENA;2,618;197;937;;9;21;1,399;14;;;;41;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO;91,595;12,759;4,871;2,255;302;22,018;5,759;240;20;43,339;7;26;;
NAPO;25,982;3,853;1,963;10,407;1,399;5,754;3;107;;1,762;;732;;
ORELLANA;47,332;7,924;10,788;1,519;516;17,025;4,594;385;3,608;58;836;80;;
PASTAZA;15,501;5,094;5;608;242;5,193;2,258;;;2,102;;;;
SUCUMBÍOS;93,994;2,810;29,237;3,041;12,638;27,765;14,253;758;2,500;533;;459;;
ZAMORA CHINCHIPE;52,843;5,138;3,930;4,210;273;30,453;4,898;884;;2,840;;217;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;;;;;
