;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Región y Provincia;GANADO PORCINO AL AÑO;;;ÍNDICE;;;;;
;TOTAL;;;;;;;;
;;;;;;;;;
TOTAL NACIONAL;2.241.397;;;;;;;;
REGIÓN SIERRA;1.123.852;;;;;;;;
REGIÓN COSTA;1.047.095;;;;;;;;
REGIÓN AMAZÓNICA;70.450;;;;;;;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
AZUAY;47.832;;;;;;;;
BOLÍVAR;62.244;;;;;;;;
CAÑAR;44.246;;;;;;;;
CARCHI;104.599;;;;;;;;
COTOPAXI;132.888;;;;;;;;
CHIMBORAZO;64.151;;;;;;;;
IMBABURA;39.964;;;;;;;;
LOJA;41.510;;;;;;;;
PICHINCHA;107.091;;;;;;;;
TUNGURAHUA;72.059;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;407.268;;;;;;;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
EL ORO;371.749;;;;;;;;
ESMERALDAS;38.676;;;;;;;;
GUAYAS;289.074;;;;;;;;
LOS RÍOS;84.545;;;;;;;;
MANABÍ;143.810;;;;;;;;
SANTA ELENA;119.240;;;;;;;;
;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;
MORONA SANTIAGO;15.617;;;;;;;;
NAPO;13.163;;;;;;;;
ORELLANA;10.362;;;;;;;;
PASTAZA;7.234;;;;;;;;
SUCUMBÍOS;13.296;;;;;;;;
ZAMORA CHINCHIPE;10.779;;;;;;;;
;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
