;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Región y Provincia;GANADO DE OTRAS ESPECIES (Machos y Hembras de toda edad);;;;;ÍNDICE;;;
;Asnal;Caballar;Mular;Caprino;;;;;
TOTAL NACIONAL;33,167;155,407;61,914;23,789;;;;;
REGIÓN SIERRA;25,540;76,913;15,105;21,204;;;;;
REGIÓN COSTA;7,093;64,684;44,032;1,885;;;;;
REGIÓN AMAZÓNICA;534;13,811;2,778;700;;;;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
AZUAY;741;17,832;1,211;750;;;;;
BOLÍVAR;928;4,440;4,011;63;;;;;
CAÑAR;330;4,315;283;53;;;;;
CARCHI;14;3,007;119;74;;;;;
COTOPAXI;3,855;6,278;1,992;746;;;;;
CHIMBORAZO;11,251;6,666;716;188;;;;;
IMBABURA;819;5,969;709;295;;;;;
LOJA;3,377;8,520;2,659;18,300;;;;;
PICHINCHA;696;13,043;1,239;405;;;;;
TUNGURAHUA;3,313;4,692;312;265;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;215;2,151;1,854;66;;;;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
EL ORO;225;5,072;1,923;326;;;;;
ESMERALDAS;717;18,976;10,903;72;;;;;
GUAYAS;925;14,707;2,605;92;;;;;
LOS RÍOS;360;5,636;1,336;530;;;;;
MANABÍ;4,851;20,221;27,238;484;;;;;
SANTA ELENA;16;71;26;380;;;;;
;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;
MORONA SANTIAGO;54;6,267;659;71;;;;;
NAPO;15;249;15;;;;;;
ORELLANA;27;1,732;994;555;;;;;
PASTAZA;;874;4;;;;;;
SUCUMBÍOS;324;3,319;938;73;;;;;
ZAMORA CHINCHIPE;115;1,369;167;;;;;;
;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;
