;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Región y Provincia;TOTAL;AVES CRIADAS EN CAMPO;;;;;ÍNDICE;;;
;;Gallos y gallinas;Pollitos, Pollitas, Pollos, Pollas;Patos;Pavos;;;;;
TOTAL NACIONAL;6,367,614;3,295,129;2,654,428;376,746;41,312;;;;;
REGIÓN SIERRA;2,700,724;1,497,379;1,082,890;103,515;16,940;;;;;
REGIÓN COSTA;2,721,157;1,323,535;1,154,038;222,750;20,834;;;;;
REGIÓN AMAZÓNICA;945,733;474,215;417,500;50,481;3,538;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;429,302;257,698;159,631;9,737;2,237;;;;;
BOLÍVAR;167,724;86,111;71,245;9,362;1,006;;;;;
CAÑAR;200,231;99,317;81,929;18,282;704;;;;;
CARCHI;47,278;25,872;20,481;750;176;;;;;
COTOPAXI;378,823;226,699;130,012;17,598;4,514;;;;;
CHIMBORAZO;303,775;150,679;140,218;11,808;1,071;;;;;
IMBABURA;102,382;54,220;45,773;1,240;1,150;;;;;
LOJA;402,260;216,312;180,143;5,034;772;;;;;
PICHINCHA;227,941;132,733;82,879;10,117;2,212;;;;;
TUNGURAHUA;280,264;172,157;96,163;9,758;2,186;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;160,742;75,583;74,416;9,828;915;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;75,771;44,978;27,346;3,270;176;;;;;
ESMERALDAS;353,863;195,970;134,443;21,709;1,741;;;;;
GUAYAS;646,428;283,106;269,556;85,350;8,416;;;;;
LOS RÍOS;521,085;261,354;213,245;41,862;4,625;;;;;
MANABÍ;1,119,712;535,464;509,110;69,277;5,862;;;;;
SANTA ELENA;4,298;2,663;338;1,283;14;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;183,531;84,881;85,389;12,803;458;;;;;
NAPO;91,456;31,672;56,258;3,204;322;;;;;
ORELLANA;341,515;174,596;147,293;18,487;1,139;;;;;
PASTAZA;38,451;19,315;15,794;3,012;330;;;;;
SUCUMBÍOS;239,714;132,590;93,710;12,124;1,290;;;;;
ZAMORA CHINCHIPE;51,066;31,160;19,055;851;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;
