;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Región y Provincia;AVES CRIADAS EN CAMPO;;;;;;;;;ÍNDICE;
;GALLOS Y GALLINAS;;POLLITOS, POLLITAS, POLLOS, POLLAS;;PATOS;;PAVOS;;;;
;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;;;
TOTAL NACIONAL;165,096;920,109;54,277;84,777;15,812;27,800;812;1,624;;;
REGIÓN SIERRA;66,343;397,403;24,860;38,221;1,242;5,308;660;515;;;
REGIÓN COSTA;67,477;382,058;17,611;40,493;13,160;16,802;3;58;;;
REGIÓN AMAZÓNICA;31,276;140,648;11,806;6,063;1,410;5,691;148;1,051;;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
AZUAY;14,380;78,181;3,238;4,757;;257;0;90;;;
BOLÍVAR;1,682;31,414;150;3,267;;978;;;;;
CAÑAR;2,986;27,874;;1,046;54;2,185;;172;;;
CARCHI;260;6,208;;1,060;;45;;13;;;
COTOPAXI;9,834;51,239;1,886;5,050;606;338;;56;;;
CHIMBORAZO;4,279;43,502;4,616;12,701;289;709;131;65;;;
IMBABURA;3,807;14,819;1,382;985;;;;13;;;
LOJA;8,512;48,627;6,355;460;;187;;24;;;
PICHINCHA;10,381;33,163;1,552;1,463;145;243;;82;;;
TUNGURAHUA;8,272;40,393;3,851;4,275;148;;529;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;1,950;21,982;1,829;3,157;;366;;;;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
EL ORO;1,922;7,789;1,092;2,976;100;396;;;;;
ESMERALDAS;18,111;51,508;919;1,385;60;712;;;;;
GUAYAS;6,588;86,236;1,004;13,407;6,580;7,285;;13;;;
LOS RÍOS;7,666;67,015;1,049;4,468;4,188;1,514;;3;;;
MANABÍ;32,929;168,857;13,547;18,256;2,013;6,674;3;42;;;
SANTA ELENA;260;653;;;218;220;;;;;
;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;
MORONA SANTIAGO;8,740;38,423;1,444;347;299;3,339;;410;;;
NAPO;4,024;6,402;419;1,219;99;;;;;;
ORELLANA;10,148;45,626;8,717;2,589;;292;;;;;
PASTAZA;2,874;7,036;394;421;184;209;92;613;;;
SUCUMBÍOS;3,824;38,384;832;1,365;828;1,620;56;28;;;
ZAMORA CHINCHIPE;1,665;4,777;;121;;230;;;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;;
