;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Región y Provincia;NÚMERO TOTAL DE VACAS ORDEÑADAS;PRODUCCIÓN TOTAL DE LECHE (Litros);Destino Principal de la leche (litros);;;;;;;ÍNDICE;;;
;;;Vendida en líquido;Consumo en los terrenos ;Alimentación al balde;Procesada en los terrenos ;Destinada a otros fines;Desperdiciada;;;;;
;;;;;;;;;;;;;
TOTAL NACIONAL;815,065;5,502,787;4,214,095;352,114;99,954;753,845;77,583;5,196;;;;;
REGIÓN SIERRA;545,149;4,371,040;3,719,530;234,875;87,785;254,621;71,678;2,550;;;;;
REGIÓN COSTA;226,251;900,319;393,959;91,548;6,504;403,904;2,232;2,173;;;;;
REGIÓN AMAZÓNICA;43,664;231,428;100,606;25,692;5,665;95,320;3,672;472;;;;;
;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;
AZUAY;71,204;427,616;335,098;56,653;2,315;33,128;415;8;;;;;
BOLÍVAR;30,729;159,379;68,750;19,991;1,147;68,708;1;782;;;;;
CAÑAR;37,349;250,192;218,224;16,966;4,497;10,167;;338;;;;;
CARCHI;29,150;287,520;274,828;6,053;4,629;1,109;901;;;;;;
COTOPAXI;71,225;683,874;635,262;19,210;23,687;5,331;363;21;;;;;
CHIMBORAZO;87,221;649,223;589,479;37,863;12,479;8,868;352;182;;;;;
IMBABURA;13,814;110,375;86,637;7,592;6,748;9,211;187;0;;;;;
LOJA;29,710;145,993;26,890;26,988;2,254;89,861;;0;;;;;
PICHINCHA;96,777;1,029,877;962,700;17,562;25,944;23,211;;460;;;;;
TUNGURAHUA;53,473;453,239;427,854;20,737;3,779;825;;43;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;24,498;173,752;93,807;5,261;306;4,201;69,460;716;;;;;
;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;
EL ORO;11,804;57,074;18,863;10,100;1,025;27,087;;;;;;;
ESMERALDAS;24,324;92,561;25,662;9,082;1,542;56,230;45;0;;;;;
GUAYAS;27,610;96,040;47,168;17,601;567;30,262;;442;;;;;
LOS RÍOS;6,314;30,827;13,554;4,400;30;12,843;;;;;;;
MANABÍ;156,005;623,066;287,974;50,353;3,339;277,482;2,187;1,731;;;;;
SANTA ELENA;193;750;740;11;;;;;;;;;
;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;
MORONA SANTIAGO;8,757;36,744;7,250;6,605;1,004;21,803;;82;;;;;
NAPO;6,253;54,085;49,572;444;2,608;1,461;;;;;;;
ORELLANA;5,024;22,301;4,454;3,093;982;13,412;360;;;;;;
PASTAZA;1,238;7,233;6,148;118;;967;;;;;;;
SUCUMBÍOS;12,109;63,601;17,936;5,856;477;39,067;265;;;;;;
ZAMORA CHINCHIPE;10,284;47,465;15,246;9,577;595;18,610;3,048;390;;;;;
;;;;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;;;;
