;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia;TOTAL;;;NÚMERO DE TRABAJADORES;;;;;;;;;;ÍNDICE
;;;;SIN REMUNERACIÓN;;;TRABAJADORES REMUNERADOS;;;;;;;
;;;;PERSONA PRODUCTORA Y/O FAMILIARES;;;PERMANENTES;;;OCASIONALES;;;;
;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;;
TOTAL NACIONAL;2.517.409;1.674.855;842.553;1.739.024;1.028.292;710.732;261.556;205.132;56.424;516.829;441.432;75.397;;
REGIÓN SIERRA;1.333.559;737.847;595.712;1.068.930;553.561;515.369;111.432;68.275;43.157;153.197;116.011;37.186;;
REGIÓN COSTA;1.036.739;844.458;192.281;540.556;397.724;142.832;143.676;131.255;12.422;352.506;315.480;37.027;;
REGIÓN AMAZÓNICA;147.111;92.550;54.561;129.538;77.007;52.530;6.447;5.602;846;11.125;9.941;1.185;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY;131.145;62.101;69.043;116.690;51.238;65.452;4.158;2.916;1.242;10.297;7.947;2.349;;
BOLÍVAR;105.331;71.913;33.418;80.893;50.418;30.474;1.505;1.351;154;22.933;20.143;2.790;;
CAÑAR;47.725;25.930;21.795;37.668;17.639;20.029;4.811;4.011;799;5.247;4.280;967;;
CARCHI;35.710;25.929;9.781;20.345;13.853;6.492;3.980;2.610;1.370;11.385;9.466;1.919;;
COTOPAXI;207.370;99.179;108.191;168.298;78.176;90.122;18.041;9.298;8.742;21.031;11.705;9.327;;
CHIMBORAZO;226.749;118.931;107.819;205.185;105.270;99.915;2.807;2.134;672;18.758;11.526;7.232;;
IMBABURA;73.160;42.904;30.256;62.871;35.268;27.603;5.170;3.095;2.076;5.119;4.542;577;;
LOJA;102.501;61.241;41.261;89.408;49.166;40.242;1.301;1.114;187;11.792;10.960;831;;
PICHINCHA;169.380;94.380;75.000;100.885;53.828;47.057;57.616;31.618;25.998;10.880;8.934;1.946;;
TUNGURAHUA;186.644;96.675;89.969;157.960;78.228;79.733;4.702;3.454;1.248;23.981;14.993;8.988;;
SANTO DOMINGO DE LOS TSÁCHILAS;47.844;38.665;9.180;28.727;20.476;8.251;7.342;6.674;669;11.775;11.515;260;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO;60.843;47.121;13.722;26.158;16.768;9.389;19.655;17.104;2.551;15.031;13.249;1.782;;
ESMERALDAS;79.771;61.408;18.362;57.561;39.889;17.673;10.406;9.816;589;11.804;11.703;101;;
GUAYAS;280.264;237.277;42.986;152.497;118.362;34.136;58.660;54.718;3.941;69.107;64.198;4.909;;
LOS RÍOS;242.281;195.030;47.251;126.285;91.283;35.002;40.469;35.985;4.484;75.527;67.762;7.765;;
MANABÍ;369.352;299.773;69.579;176.764;130.259;46.504;12.834;12.133;701;179.754;157.380;22.374;;
SANTA ELENA;4.229;3.849;380;1.291;1.163;128;1.653;1.497;156;1.284;1.188;96;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO;29.842;17.851;11.991;26.019;14.571;11.448;1.776;1.447;330;2.046;1.833;213;;
NAPO;18.159;10.778;7.381;16.115;9.404;6.711;396;335;60;1.649;1.039;610;;
ORELLANA;32.869;19.957;12.912;29.330;16.633;12.697;858;781;78;2.681;2.543;137;;
PASTAZA;13.455;8.387;5.069;12.800;7.850;4.950;275;245;30;381;291;89;;
SUCUMBÍOS;41.879;28.874;13.005;35.351;22.679;12.672;2.921;2.649;271;3.607;3.546;61;;
ZAMORA CHINCHIPE;10.906;6.703;4.204;9.922;5.870;4.052;221;144;77;763;689;74;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
