;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
CULTIVOS TRANSITORIOS;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;; ÍNDICE ;;;
;; Sembrada ; Cosechada ;;;;;;;
TOTAL NACIONAL;Solo; 920,634 ; 891,081 ;;;;;;;
;Asociado; 41,120 ; 34,819 ;;;;;;;
;;;;;;;;;;
ARROZ (EN CÁSCARA);Solo; 343,022 ; 337,783 ; 1,561,211 ; 1,506,590 ;;;;;
;Asociado; 40 ; 40 ; 60 ;;;;;;
ARVEJA SECA (GRANO SECO);Solo; 1,580 ; 1,410 ; 772 ; 468 ;;;;;
;Asociado; 69 ; 69 ; 15 ; 2 ;;;;;
ARVEJA TIERNA (EN VAINA);Solo; 2,986 ; 2,534 ; 6,811 ; 6,243 ;;;;;
;Asociado; 179 ; 129 ; 136 ; 64 ;;;;;
BRÓCOLI (REPOLLO);Solo; 9,089 ; 8,725 ; 135,259 ; 135,087 ;;;;;
;Asociado;;;;;;;;;
CEBADA (GRANO SECO);Solo; 8,443 ; 7,636 ; 11,155 ; 8,782 ;;;;;
;Asociado;;;;;;;;;
CEBOLLA BLANCA (TALLO FRESCO);Solo; 4,949 ; 4,799 ; 17,542 ; 17,470 ;;;;;
;Asociado;;;;;;;;;
FRÉJOL SECO (GRANO SECO);Solo; 14,866 ; 14,152 ; 10,419 ; 9,748 ;;;;;
;Asociado; 11,509 ; 9,045 ; 4,253 ; 2,363 ;;;;;
FRÉJOL TIERNO (VAINA);Solo; 5,951 ; 5,699 ; 19,815 ; 19,694 ;;;;;
;Asociado; 3,779 ; 3,364 ; 4,458 ; 3,744 ;;;;;
HABA SECA (GRANO SECO);Solo; 1,647 ; 1,402 ; 1,436 ; 860 ;;;;;
;Asociado; 2,259 ; 1,858 ; 707 ; 154 ;;;;;
HABA TIERNA (VAINA);Solo; 4,914 ; 4,404 ; 18,797 ; 17,202 ;;;;;
;Asociado; 1,127 ; 696 ; 739 ; 338 ;;;;;
MAÍZ DURO CHOCLO (CHOCLO);Solo; 2,863 ; 2,777 ; 10,291 ; 8,274 ;;;;;
;Asociado; 464 ; 464 ; 1,123 ; 1,023 ;;;;;
MAÍZ DURO SECO (GRANO SECO);Solo; 365,730 ; 356,181 ; 1,613,369 ; 1,574,043 ;;;;;
;Asociado; 6,851 ; 6,292 ; 27,763 ; 26,193 ;;;;;
MAÍZ SUAVE CHOCLO (CHOCLO);Solo; 12,727 ; 11,511 ; 40,053 ; 36,455 ;;;;;
;Asociado; 2,524 ; 2,261 ; 4,347 ; 1,964 ;;;;;
MAÍZ SUAVE SECO (GRANO SECO);Solo; 32,806 ; 28,811 ; 33,833 ; 24,110 ;;;;;
;Asociado; 9,252 ; 7,794 ; 5,619 ; 1,770 ;;;;;
MANÍ (GRANO DESCASCARADO);Solo; 3,199 ; 3,069 ; 3,130 ; 2,892 ;;;;;
;Asociado; 302 ; 302 ; 228 ; 201 ;;;;;
PAPA (TUBÉRCULO FRESCO);Solo; 19,180 ; 17,768 ; 250,627 ; 231,929 ;;;;;
;Asociado; 211 ; 158 ; 807 ; 585 ;;;;;
QUINUA (GRANO SECO);Solo; 885 ; 837 ; 884 ; 765 ;;;;;
;Asociado;;;;;;;;;
SOYA (GRANO SECO);Solo; 22,163 ; 22,113 ; 29,454 ; 29,128 ;;;;;
;Asociado;;;;;;;;;
TABACO (HOJA SECA);Solo; 7,477 ; 7,466 ; 10,232 ; 10,232 ;;;;;
;Asociado;;;;;;;;;
TOMATE RIÑÓN (FRUTA FRESCA);Solo; 1,886 ; 1,809 ; 52,229 ; 51,589 ;;;;;
;Asociado;;;;;;;;;
TRIGO (GRANO SECO);Solo; 4,510 ; 4,395 ; 7,431 ; 6,402 ;;;;;
;Asociado;;;;;;;;;
YUCA (RAÍZ FRESCA);Solo; 16,878 ; 16,666 ; 141,133 ; 126,701 ;;;;;
;Asociado; 1,144 ; 1,030 ; 5,166 ; 3,748 ;;;;;
OTROS TRANSITORIOS;Solo; 32,884 ; 29,131 ; 258,776 ; 251,296 ;;;;;
;Asociado; 1,409 ; 1,317 ; 4,414 ; 3,838 ;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;
